site_id,before_MAPE_raw,before_MAPE_clipped,before_WAPE,before_MAE,before_bias_pct,after_MAPE_raw,after_MAPE_clipped,after_WAPE,after_MAE,after_bias_pct,MAPE_raw_improvement,MAPE_clipped_improvement,WAPE_improvement,n_samples_before,n_samples_after
S024,76.13458991306183,40.69552178978404,29.633920521756508,0.31739104828028275,5.089707474556807,76.13458991306183,40.69552178978404,29.633920521756508,0.31739104828028275,5.089707474556807,0.0,0.0,0.0,1260,1260
S025,55.54021329272132,40.85437816994874,27.16192590048905,0.3442845241053124,2.646017094233082,55.54021329272132,40.85437816994874,27.16192590048905,0.3442845241053124,2.646017094233082,0.0,0.0,0.0,1241,1241
S028,48.07861110245805,38.53875520012513,31.97529308593099,0.25760773482210586,-9.057102613571809,48.07861110245805,38.53875520012513,31.97529308593099,0.25760773482210586,-9.057102613571809,0.0,0.0,0.0,1238,1238
S030,53.12198208984766,42.61449850259146,27.945842534151456,0.20620820137111265,-3.5334887355810194,53.12198208984766,42.61449850259146,27.945842534151456,0.20620820137111265,-3.5334887355810194,0.0,0.0,0.0,1253,1253
S031,46.178513956979685,38.60057011282931,28.996152690670367,0.047360382728094945,2.24306795680822,46.178513956979685,38.60057011282931,28.996152690670367,0.047360382728094945,2.24306795680822,0.0,0.0,0.0,1134,1134
S032,94.42895405559453,67.91248364586028,83.32165002088551,1.7474522548837828,-82.12066560787777,94.42895405559453,67.91248364586028,83.32165002088551,1.7474522548837828,-82.12066560787777,0.0,0.0,0.0,1263,1263
S033,51.36243285255245,39.68110401476819,30.766674031929014,0.4132725063410922,-6.682792325629827,51.36243285255245,39.68110401476819,30.766674031929014,0.4132725063410922,-6.682792325629827,0.0,0.0,0.0,1278,1278
S034,61.94353815233231,45.089409017899875,29.311658553343044,0.2501015213426842,-1.6668761448450202,61.94353815233231,45.089409017899875,29.311658553343044,0.2501015213426842,-1.6668761448450202,0.0,0.0,0.0,1071,1071
S035,77.91145244786478,47.19394703556237,32.68207307095242,0.34507182458945834,7.224530212454655,77.91145244786478,47.19394703556237,32.68207307095242,0.34507182458945834,7.224530212454655,0.0,0.0,0.0,1285,1285
S037,44.62522394608977,35.399513913122085,21.886421385755177,0.3305022644437852,-7.125872098160901,44.62522394608977,35.399513913122085,21.886421385755177,0.3305022644437852,-7.125872098160901,0.0,0.0,0.0,759,759
