station_id,station_name,capacity_mw,rows,positive_rows,zero_ratio_6_19,actual_sum_mwh_like,pred_sum_mwh_like,pred_actual_ratio,bias_percent,mae_mw,rmse_mw,nrmse_percent,pred_zero_ratio_6_19,actual_max_mw,pred_max_mw,max_power_ratio,has_geo_ratio,geo_confidence,scene_night_ratio_6_19,scene_low_ratio,scene_mid_ratio,scene_clear_peak_ratio,g_blend_non_null_ratio,g_blend_zero_ratio,risk_flags
S042,国能联合动力光伏电站,3.724,1708,1241,0.2734,1127.48,1349.5892,1.197,19.6996,0.2546,0.3542,9.5125,0.0369,3.41,2.7098,0.7947,1.0,,0.2319,0.2348,0.4215,0.1118,0.9994,0.0006,daytime_scene_night
S044,国能汇菇源光伏电站,8.492,1708,0,1.0,0.0,1671.6032,,,0.9787,1.4184,16.7033,0.3208,0.0,3.5632,0.0,1.0,,0.2307,0.2395,0.4215,0.1083,0.9994,0.0006,high_actual_zero_ratio|daytime_scene_night
S045,华能华兴光伏电站,2.915,1708,160,0.9063,137.88,719.4118,5.2177,421.7666,0.3995,0.52,17.8386,0.0381,1.7,1.3211,0.7771,1.0,,0.2301,0.2295,0.4321,0.1083,0.9994,0.0006,high_bias|over_prediction|high_actual_zero_ratio|daytime_scene_night
S046,国能新易春光伏电站,4.25,1708,1304,0.2365,1237.57,768.0393,0.6206,-37.9397,0.508,0.7448,17.5241,0.0369,3.7,3.2062,0.8665,1.0,,0.2336,0.7664,0.0,0.0,0.0,1.0,high_bias|under_prediction|irradiance_zero_or_missing|daytime_scene_night
S047,汇九齿轮光伏发电站,4.8,1708,1230,0.2799,1189.37,1054.7771,0.8868,-11.3163,0.235,0.3629,7.5607,0.0369,3.3,2.1275,0.6447,1.0,,0.2307,0.2412,0.4186,0.1095,0.9994,0.0006,daytime_scene_night
S048,卓贵光之明光伏电站,4.0,1708,1129,0.339,957.6,1033.7339,1.0795,7.9505,0.1825,0.307,7.6738,0.3214,2.92,2.4658,0.8444,1.0,,0.2324,0.2336,0.4221,0.1118,0.9994,0.0006,daytime_scene_night
S049,华能灌云光伏发电站,14.1,1708,1238,0.2752,2958.83,2890.0946,0.9768,-2.3231,0.5537,0.9031,6.4051,0.0381,10.16,6.3413,0.6241,1.0,,0.2301,0.2319,0.4297,0.1083,0.9994,0.0006,daytime_scene_night
S050,沐恒东海产业园光伏电站,2.55,1708,1440,0.1569,406.13,601.211,1.4803,48.0341,0.2251,0.3617,14.1835,0.4327,1.89,1.3065,0.6913,1.0,,0.2319,0.2359,0.4215,0.1107,0.9994,0.0006,high_bias|over_prediction|daytime_scene_night
S051,鲲鹏德宇光伏电站,5.025,1708,1266,0.2588,1001.12,1171.9279,1.1706,17.0617,0.3268,0.5359,10.6645,0.3208,3.41,2.7775,0.8145,1.0,,0.2307,0.2418,0.418,0.1095,0.9994,0.0006,daytime_scene_night
S052,鹰游新立成二期光伏电站,6.08,1708,1290,0.2447,1845.98,1453.5195,0.7874,-21.2603,0.4396,0.655,10.7726,0.0369,5.54,2.8571,0.5157,1.0,,0.2313,0.2418,0.4174,0.1095,0.9994,0.0006,high_bias|daytime_scene_night
S053,鹰游新立成光伏发电站,13.33,1708,1662,0.0269,9207.48,6064.1034,0.6586,-34.1394,2.6172,3.2655,24.4977,0.0369,5.54,10.4215,1.8811,1.0,,0.2313,0.2412,0.418,0.1095,0.9994,0.0006,high_nrmse|high_bias|under_prediction|capacity_or_power_outlier|daytime_scene_night
S054,鸿天伍江光伏电站,11.272,1708,1247,0.2699,2790.97,3097.9053,1.11,10.9974,0.5454,0.8334,7.3939,0.0375,8.42,6.372,0.7568,1.0,,0.2324,0.2324,0.4233,0.1118,0.9994,0.0006,daytime_scene_night
S055,沐恒曲阳光伏电站,4.0,1708,1503,0.12,584.81,642.8004,1.0992,9.9161,0.344,0.4548,11.3707,0.3208,2.73,1.7304,0.6338,1.0,,0.2324,0.233,0.4233,0.1112,0.9994,0.0006,daytime_scene_night
S056,昱中科技光伏电站,3.15,1708,1148,0.3279,740.2,864.9793,1.1686,16.8575,0.1565,0.2457,7.7999,0.3214,2.16,1.708,0.7908,1.0,,0.2324,0.2319,0.4239,0.1118,0.9994,0.0006,daytime_scene_night
S058,远途大浦光伏电站,5.99,1708,1296,0.2412,1616.65,1480.2343,0.9156,-8.4382,0.4001,0.5727,9.5604,0.0369,4.94,3.3787,0.6839,1.0,,0.2313,0.2348,0.4198,0.1142,0.9994,0.0006,daytime_scene_night
S059,首耀清墩光伏电站,2.0,1708,1677,0.0181,694.36,531.4988,0.7655,-23.4549,0.2402,0.2766,13.8285,0.0369,1.48,1.2028,0.8127,1.0,,0.2313,0.2342,0.421,0.1136,0.9994,0.0006,high_bias|daytime_scene_night
