site_id,split,pred_col,n_matched,max_diff,mean_diff
S037,valid,power_pred_final,868,4.997410951546044e-05,2.2487497469218556e-05
S037,test,power_pred_final,1708,4.9974089632143226e-05,1.598549255935223e-05
S038,train,power_pred_cal,864,4.99647039712281e-05,2.058991489494727e-05
S038,valid,power_pred_final,868,4.998305663678204e-05,2.3858654188911346e-05
S038,test,power_pred_final,1708,4.989066303751066e-05,1.8538168374991248e-05
S039,train,power_pred_cal,859,4.9959104827301815e-05,1.9731617351673808e-05
S039,valid,power_pred_final,868,4.9991588012110455e-05,2.396050808508316e-05
S039,test,power_pred_final,1708,4.999913174641435e-05,1.876570055569678e-05
S040,train,power_pred_cal,1134,4.987040250714614e-05,2.050130659214627e-05
S040,valid,power_pred_final,868,4.983026683902381e-05,2.2673884312100666e-05
S040,test,power_pred_final,1708,4.9981123004361194e-05,1.6138839345423714e-05
S041,train,power_pred_cal,7686,4.999583419107445e-05,1.736637049876562e-05
S041,valid,power_pred_final,868,4.99739027747248e-05,2.463103134009838e-05
S041,test,power_pred_final,1708,4.995654112005532e-05,1.9098586473585786e-05
S042,train,power_pred_cal,3085,4.997718790722416e-05,1.7090275365812083e-05
S042,valid,power_pred_final,868,4.989619369188958e-05,2.4080088836004725e-05
S042,test,power_pred_final,1708,4.9974166671074016e-05,1.8458015401627085e-05
S044,train,power_pred_cal,1660,4.9929209676946584e-05,1.4223683565814935e-05
S044,valid,power_pred_final,868,4.988122717275445e-05,2.306245098099454e-05
S044,test,power_pred_final,1708,4.994246187761675e-05,1.61880240916427e-05
S045,train,power_pred_cal,1489,4.99856417259803e-05,1.9852679250491373e-05
S045,valid,power_pred_final,868,4.9811745724048784e-05,2.3629543857302018e-05
S045,test,power_pred_final,1708,4.999612892886418e-05,1.923036658186694e-05
S046,train,power_pred_cal,2748,4.9955241000265715e-05,1.7669500615607673e-05
S046,valid,power_pred_final,868,4.991624071332135e-05,2.4559809764374827e-05
S046,test,power_pred_final,1708,4.9990183756953854e-05,1.9069479554416495e-05
S047,train,power_pred_cal,10822,4.999664901594869e-05,1.7282799499378076e-05
S047,valid,power_pred_final,868,4.990777231173027e-05,2.418328790492485e-05
S047,test,power_pred_final,1708,4.990267119731051e-05,1.8742078469861073e-05
S048,train,power_pred_cal,863,4.994147179027131e-05,2.0417427351899146e-05
S048,valid,power_pred_final,868,4.9865854370723106e-05,2.3447952037541173e-05
S048,test,power_pred_final,1708,4.9960465124676556e-05,1.862225233687335e-05
S049,train,power_pred_cal,12768,4.999933637606091e-05,1.735691664951542e-05
S049,valid,power_pred_final,868,4.999841136221761e-05,2.4537730293275328e-05
S049,test,power_pred_final,1708,4.988667972921634e-05,1.8277977599198602e-05
S050,train,power_pred_cal,859,4.978416560530441e-05,1.9738786157587806e-05
S050,valid,power_pred_final,868,4.995229748677721e-05,2.3094892180519915e-05
S050,test,power_pred_final,1708,4.9984890130860826e-05,1.8520680703809775e-05
S051,train,power_pred_cal,864,4.999499368141258e-05,2.0300445696591906e-05
S051,valid,power_pred_final,868,4.984354623704945e-05,2.357161899206757e-05
S051,test,power_pred_final,1708,4.996698786485787e-05,1.8645627687625037e-05
S052,train,power_pred_cal,4410,4.999576498421199e-05,1.6854004816205992e-05
S052,valid,power_pred_final,868,4.9981127599935116e-05,2.3515040196691374e-05
S052,test,power_pred_final,1708,4.999428516178073e-05,1.870222598096793e-05
S053,train,power_pred_cal,12768,4.9998468916179206e-05,1.7207943709837804e-05
S053,valid,power_pred_final,868,4.990878465838122e-05,2.4367044977593382e-05
S053,test,power_pred_final,1708,4.9963520186935284e-05,1.839054482120057e-05
S054,train,power_pred_cal,2328,4.999739837252548e-05,1.848629832942941e-05
S054,valid,power_pred_final,868,4.9968098421615537e-05,2.3202286934316753e-05
S054,test,power_pred_final,1708,4.999310491127229e-05,1.8575247076499387e-05
S055,train,power_pred_cal,859,4.9898754904798004e-05,3.743103564102362e-06
S055,valid,power_pred_final,868,4.996296003012546e-05,2.361667884326426e-05
S055,test,power_pred_final,1708,4.9972128173925157e-05,1.6007079819339585e-05
S056,train,power_pred_cal,943,4.9958666873517465e-05,2.0053877178072866e-05
S056,valid,power_pred_final,868,4.995015224490418e-05,2.290407317800499e-05
S056,test,power_pred_final,1708,4.99799130061207e-05,1.8557122193825142e-05
S058,train,power_pred_cal,12768,4.9988741471107545e-05,1.7309335057879648e-05
