site_id,hour,ratio_sh,n_sh,ratio_site_shrunk,ratio_hour_shrunk,calibrated_ratio
S038,13,1.1971701603284817,62,1.1305176739850866,0.9859213079674419,1.1462903997610046
S038,14,1.2611506533199546,62,1.1305176739850866,1.0122433827571713,1.1614308217666203
S038,15,1.2043235656529556,62,1.1305176739850866,1.0289453482398354,1.1479831903339717
S038,16,1.2521600137174183,62,1.1305176739850866,1.0596856988837373,1.1593032658301423
S038,17,1.040963682275301,62,1.1305176739850866,1.0224285078521531,1.1093255080079618
S038,18,0.7144237454665566,62,1.1305176739850866,0.9213453874536068,1.0320526985341367
S038,19,0.22135477903390574,21,1.1305176739850866,0.7,1.0441266296684586
S038,20,,0,1.1305176739850866,1.0166513550170326,
S038,21,,0,1.1305176739850866,1.0166513550170326,
S038,22,,0,1.1305176739850866,1.0166513550170326,
S038,23,,0,1.1305176739850866,1.0166513550170326,
S039,0,,0,1.0670007026298196,1.0166513550170326,
S039,1,,0,1.0670007026298196,1.0166513550170326,
S039,2,,0,1.0670007026298196,1.0166513550170326,
S039,3,,0,1.0670007026298196,1.0166513550170326,
S039,4,,0,1.0670007026298196,1.0166513550170326,
S039,5,,0,1.0670007026298196,1.0166513550170326,
S039,6,0.9703283180002156,62,1.0670007026298196,1.3,1.0441240314579288
S039,7,1.1062261161089466,62,1.0670007026298196,1.0636247309869762,1.0762830523844222
S039,8,1.1176567979163659,62,1.0670007026298196,1.009798995725023,1.078988022888468
S039,9,1.0259866853422444,62,1.0670007026298196,1.014345644796355,1.0572950954854317
S039,10,1.094338047213802,62,1.0670007026298196,1.029636269839956,1.0734698452412963
S039,11,1.1239018387019342,62,1.0670007026298196,1.0124218305045298,1.0804658569674956
S039,12,1.0653955664466228,62,1.0670007026298196,1.0025961503108956,1.0666208612429564
S039,13,1.0213443993007927,62,1.0670007026298196,0.9859213079674419,1.0561965392466148
S039,14,1.1203662288792202,62,1.0670007026298196,1.0122433827571713,1.0796291859407465
S039,15,1.1960653524607598,62,1.0670007026298196,1.0289453482398354,1.0975427190020268
