candidate,w_season,w_noon,w_he,window,city_nrmse,delta,bad_sites,passes
blend_w1=0.25_w2=1.0_w3=1.0,0.25,1.0,1.0,window_early,17.072,0.0,0,True
blend_w1=0.25_w2=1.0_w3=1.0,0.25,1.0,1.0,window_late,5.2831,0.0311,2,False
blend_w1=0.5_w2=0.0_w3=0.0,0.5,0.0,0.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.0_w3=0.0,0.5,0.0,0.0,window_late,5.4882,0.2362,8,False
blend_w1=0.5_w2=0.0_w3=0.25,0.5,0.0,0.25,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.0_w3=0.25,0.5,0.0,0.25,window_late,5.3794,0.1274,4,False
blend_w1=0.5_w2=0.0_w3=0.5,0.5,0.0,0.5,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.0_w3=0.5,0.5,0.0,0.5,window_late,5.3361,0.0841,4,False
blend_w1=0.5_w2=0.0_w3=0.75,0.5,0.0,0.75,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.0_w3=0.75,0.5,0.0,0.75,window_late,5.3138,0.0618,3,False
blend_w1=0.5_w2=0.0_w3=1.0,0.5,0.0,1.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.0_w3=1.0,0.5,0.0,1.0,window_late,5.3005,0.0485,3,False
blend_w1=0.5_w2=0.25_w3=0.0,0.5,0.25,0.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.0,0.5,0.25,0.0,window_late,5.4141,0.162,3,False
blend_w1=0.5_w2=0.25_w3=0.25,0.5,0.25,0.25,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.25,0.5,0.25,0.25,window_late,5.3552,0.1032,3,False
blend_w1=0.5_w2=0.25_w3=0.5,0.5,0.25,0.5,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.5,0.5,0.25,0.5,window_late,5.3257,0.0737,3,False
blend_w1=0.5_w2=0.25_w3=0.75,0.5,0.25,0.75,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.75,0.5,0.25,0.75,window_late,5.3086,0.0565,2,False
blend_w1=0.5_w2=0.25_w3=1.0,0.5,0.25,1.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.25_w3=1.0,0.5,0.25,1.0,window_late,5.2975,0.0455,2,False
blend_w1=0.5_w2=0.5_w3=0.0,0.5,0.5,0.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.0,0.5,0.5,0.0,window_late,5.3838,0.1318,3,False
blend_w1=0.5_w2=0.5_w3=0.25,0.5,0.5,0.25,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.25,0.5,0.5,0.25,window_late,5.3438,0.0917,3,False
blend_w1=0.5_w2=0.5_w3=0.5,0.5,0.5,0.5,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.5,0.5,0.5,0.5,window_late,5.3209,0.0688,3,False
blend_w1=0.5_w2=0.5_w3=0.75,0.5,0.5,0.75,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.75,0.5,0.5,0.75,window_late,5.3064,0.0543,3,False
blend_w1=0.5_w2=0.5_w3=1.0,0.5,0.5,1.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.5_w3=1.0,0.5,0.5,1.0,window_late,5.2965,0.0445,2,False
blend_w1=0.5_w2=0.75_w3=0.0,0.5,0.75,0.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.0,0.5,0.75,0.0,window_late,5.3679,0.1158,3,False
blend_w1=0.5_w2=0.75_w3=0.25,0.5,0.75,0.25,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.25,0.5,0.75,0.25,window_late,5.3374,0.0854,3,False
blend_w1=0.5_w2=0.75_w3=0.5,0.5,0.75,0.5,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.5,0.5,0.75,0.5,window_late,5.3184,0.0664,3,False
blend_w1=0.5_w2=0.75_w3=0.75,0.5,0.75,0.75,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.75,0.5,0.75,0.75,window_late,5.3056,0.0536,3,False
blend_w1=0.5_w2=0.75_w3=1.0,0.5,0.75,1.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=0.75_w3=1.0,0.5,0.75,1.0,window_late,5.2966,0.0445,2,False
blend_w1=0.5_w2=1.0_w3=0.0,0.5,1.0,0.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.0,0.5,1.0,0.0,window_late,5.3582,0.1062,3,False
blend_w1=0.5_w2=1.0_w3=0.25,0.5,1.0,0.25,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.25,0.5,1.0,0.25,window_late,5.3335,0.0815,3,False
blend_w1=0.5_w2=1.0_w3=0.5,0.5,1.0,0.5,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.5,0.5,1.0,0.5,window_late,5.3171,0.0651,3,False
blend_w1=0.5_w2=1.0_w3=0.75,0.5,1.0,0.75,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.75,0.5,1.0,0.75,window_late,5.3056,0.0535,3,False
blend_w1=0.5_w2=1.0_w3=1.0,0.5,1.0,1.0,window_early,17.072,0.0,0,True
blend_w1=0.5_w2=1.0_w3=1.0,0.5,1.0,1.0,window_late,5.2971,0.0451,3,False
blend_w1=0.75_w2=0.0_w3=0.0,0.75,0.0,0.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.0_w3=0.0,0.75,0.0,0.0,window_late,5.4882,0.2362,8,False
blend_w1=0.75_w2=0.0_w3=0.25,0.75,0.0,0.25,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.0_w3=0.25,0.75,0.0,0.25,window_late,5.4039,0.1518,4,False
blend_w1=0.75_w2=0.0_w3=0.5,0.75,0.0,0.5,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.0_w3=0.5,0.75,0.0,0.5,window_late,5.3612,0.1091,4,False
blend_w1=0.75_w2=0.0_w3=0.75,0.75,0.0,0.75,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.0_w3=0.75,0.75,0.0,0.75,window_late,5.3361,0.0841,4,False
