site_id,hour,split,rows,pred_actual_ratio,site_nrmse_pct
S010,13,test,122,1.1148416832993675,10.674065409104923
S010,13,train,888,0.9588953074332912,12.795195613257276
S010,13,valid,62,1.0392400406391566,19.689887834269097
S010,14,future,88,0.6735687737031567,14.669883460215766
S010,14,test,122,1.152794467209991,9.873451167123587
S010,14,train,888,1.013190329727342,12.427790412737359
S010,14,valid,62,1.0295262746051277,15.65564919652894
S011,10,future,90,0.9167884800683634,11.021205963012202
S011,10,test,122,1.0266944230608193,10.039772807564356
S011,10,train,902,1.0033024862995725,10.008791891321675
S011,10,valid,61,1.0224947975189667,16.45569792469004
S011,11,future,90,0.7654373298902012,14.650343981964403
S011,11,test,122,1.0056128277826057,10.676314434891838
S011,11,train,903,0.976815071237839,10.54760410689029
S011,11,valid,62,1.0539302305925793,17.255567093717232
S011,12,future,90,0.745855460143703,16.303582534551406
S011,12,test,122,1.0022220040781937,11.5891685216269
S011,12,train,902,0.9710812364692467,11.543073142445463
S011,12,valid,62,1.0507083462915616,17.385920568103256
S011,13,future,90,0.7113945680206218,16.63198927686963
S011,13,test,122,1.1235976044285776,10.519385107339607
S011,13,train,904,0.9906138558808917,11.509366250615113
S011,13,valid,62,1.0149845303060263,14.500190632981907
S011,14,future,90,0.7470794568172799,14.085018435792731
S011,14,test,122,1.1038245803676623,11.453158283400859
S011,14,train,903,1.0050482643893128,11.09292946436351
S011,14,valid,61,0.973260028763255,12.765907879665924
S012,10,future,20,0.9061651879550535,15.325445476315021
S012,10,test,109,3.053413303939641,25.07089791746432
S012,10,train,58,1.0700971854788353,9.002487470398282
S012,10,valid,62,1.1426451029387026,12.662042904306222
S012,11,future,20,0.8286400591930694,17.722924783982766
S012,11,test,109,3.220373118493459,29.31215821618735
S012,11,train,58,1.0708176265304865,10.494813471917334
S012,11,valid,62,1.1107074278750722,13.532870215955159
S012,12,future,20,0.7676469189443986,21.73518890204974
S012,12,test,109,2.8648801016937377,30.531523735977483
S012,12,train,58,1.0011871618117911,10.085301013044774
S012,12,valid,62,1.1465872533460673,14.041712600693662
