candidate,w1,w2,w3,window,city_nrmse,site_nrmse,delta,bad_sites,passes
blend_w1=0.5_w2=0.25_w3=0.25,0.5,0.25,0.25,window_late,5.1655,14.0032,-0.0865,0,True
blend_w1=0.5_w2=0.25_w3=0.5,0.5,0.25,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.5,0.5,0.25,0.5,window_late,5.1781,14.0351,-0.074,0,True
blend_w1=0.5_w2=0.25_w3=0.75,0.5,0.25,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.25_w3=0.75,0.5,0.25,0.75,window_late,5.1877,14.0583,-0.0643,0,True
blend_w1=0.5_w2=0.25_w3=1.0,0.5,0.25,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.25_w3=1.0,0.5,0.25,1.0,window_late,5.1953,14.0758,-0.0567,0,True
blend_w1=0.5_w2=0.5_w3=0.0,0.5,0.5,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.0,0.5,0.5,0.0,window_late,5.159,13.983,-0.093,0,True
blend_w1=0.5_w2=0.5_w3=0.25,0.5,0.5,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.25,0.5,0.5,0.25,window_late,5.1708,14.0161,-0.0813,0,True
blend_w1=0.5_w2=0.5_w3=0.5,0.5,0.5,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.5,0.5,0.5,0.5,window_late,5.1805,14.041,-0.0715,0,True
blend_w1=0.5_w2=0.5_w3=0.75,0.5,0.5,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=0.75,0.5,0.5,0.75,window_late,5.1884,14.0601,-0.0636,0,True
blend_w1=0.5_w2=0.5_w3=1.0,0.5,0.5,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.5_w3=1.0,0.5,0.5,1.0,window_late,5.1949,14.0751,-0.0572,0,True
blend_w1=0.5_w2=0.75_w3=0.0,0.5,0.75,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.0,0.5,0.75,0.0,window_late,5.1661,14.0004,-0.086,0,True
blend_w1=0.5_w2=0.75_w3=0.25,0.5,0.75,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.25,0.5,0.75,0.25,window_late,5.1751,14.026,-0.0769,0,True
blend_w1=0.5_w2=0.75_w3=0.5,0.5,0.75,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.5,0.5,0.75,0.5,window_late,5.1829,14.046,-0.0692,0,True
blend_w1=0.5_w2=0.75_w3=0.75,0.5,0.75,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=0.75,0.5,0.75,0.75,window_late,5.1894,14.0621,-0.0626,0,True
blend_w1=0.5_w2=0.75_w3=1.0,0.5,0.75,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=0.75_w3=1.0,0.5,0.75,1.0,window_late,5.1949,14.0751,-0.0571,0,True
blend_w1=0.5_w2=1.0_w3=0.0,0.5,1.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.0,0.5,1.0,0.0,window_late,5.1715,14.0132,-0.0805,0,True
blend_w1=0.5_w2=1.0_w3=0.25,0.5,1.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.25,0.5,1.0,0.25,window_late,5.1786,14.0336,-0.0734,0,True
blend_w1=0.5_w2=1.0_w3=0.5,0.5,1.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.5,0.5,1.0,0.5,window_late,5.1849,14.0502,-0.0671,0,True
blend_w1=0.5_w2=1.0_w3=0.75,0.5,1.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=0.75,0.5,1.0,0.75,window_late,5.1904,14.0639,-0.0616,0,True
blend_w1=0.5_w2=1.0_w3=1.0,0.5,1.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.5_w2=1.0_w3=1.0,0.5,1.0,1.0,window_late,5.1952,14.0754,-0.0569,0,True
blend_w1=0.75_w2=0.0_w3=0.0,0.75,0.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.0_w3=0.0,0.75,0.0,0.0,window_late,5.1426,13.9269,-0.1095,0,True
blend_w1=0.75_w2=0.0_w3=0.25,0.75,0.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.0_w3=0.25,0.75,0.0,0.25,window_late,5.1539,13.9686,-0.0981,0,True
blend_w1=0.75_w2=0.0_w3=0.5,0.75,0.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.0_w3=0.5,0.75,0.0,0.5,window_late,5.1659,14.0025,-0.0861,0,True
blend_w1=0.75_w2=0.0_w3=0.75,0.75,0.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.0_w3=0.75,0.75,0.0,0.75,window_late,5.1761,14.0285,-0.076,0,True
blend_w1=0.75_w2=0.0_w3=1.0,0.75,0.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.0_w3=1.0,0.75,0.0,1.0,window_late,5.1844,14.0487,-0.0677,0,True
blend_w1=0.75_w2=0.25_w3=0.0,0.75,0.25,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.25_w3=0.0,0.75,0.25,0.0,window_late,5.1468,13.9483,-0.1052,0,True
blend_w1=0.75_w2=0.25_w3=0.25,0.75,0.25,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.25_w3=0.25,0.75,0.25,0.25,window_late,5.1583,13.9834,-0.0938,0,True
blend_w1=0.75_w2=0.25_w3=0.5,0.75,0.25,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.25_w3=0.5,0.75,0.25,0.5,window_late,5.1686,14.0111,-0.0835,0,True
blend_w1=0.75_w2=0.25_w3=0.75,0.75,0.25,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.25_w3=0.75,0.75,0.25,0.75,window_late,5.1773,14.0329,-0.0748,0,True
blend_w1=0.75_w2=0.25_w3=1.0,0.75,0.25,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.25_w3=1.0,0.75,0.25,1.0,window_late,5.1845,14.0503,-0.0675,0,True
blend_w1=0.75_w2=0.5_w3=0.0,0.75,0.5,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.5_w3=0.0,0.75,0.5,0.0,window_late,5.1532,13.9676,-0.0989,0,True
blend_w1=0.75_w2=0.5_w3=0.25,0.75,0.5,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.5_w3=0.25,0.75,0.5,0.25,window_late,5.1629,13.9959,-0.0891,0,True
blend_w1=0.75_w2=0.5_w3=0.5,0.75,0.5,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.5_w3=0.5,0.75,0.5,0.5,window_late,5.1715,14.0187,-0.0805,0,True
blend_w1=0.75_w2=0.5_w3=0.75,0.75,0.5,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.5_w3=0.75,0.75,0.5,0.75,window_late,5.1789,14.0371,-0.0732,0,True
blend_w1=0.75_w2=0.5_w3=1.0,0.75,0.5,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.5_w3=1.0,0.75,0.5,1.0,window_late,5.1851,14.0523,-0.0669,0,True
blend_w1=0.75_w2=0.75_w3=0.0,0.75,0.75,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.75_w3=0.0,0.75,0.75,0.0,window_late,5.159,13.983,-0.093,0,True
blend_w1=0.75_w2=0.75_w3=0.25,0.75,0.75,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.75_w3=0.25,0.75,0.75,0.25,window_late,5.1671,14.0061,-0.085,0,True
blend_w1=0.75_w2=0.75_w3=0.5,0.75,0.75,0.5,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.75_w3=0.5,0.75,0.75,0.5,window_late,5.1742,14.0252,-0.0778,0,True
blend_w1=0.75_w2=0.75_w3=0.75,0.75,0.75,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.75_w3=0.75,0.75,0.75,0.75,window_late,5.1805,14.041,-0.0715,0,True
blend_w1=0.75_w2=0.75_w3=1.0,0.75,0.75,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=0.75_w3=1.0,0.75,0.75,1.0,window_late,5.186,14.0543,-0.0661,0,True
blend_w1=0.75_w2=1.0_w3=0.0,0.75,1.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=1.0_w3=0.0,0.75,1.0,0.0,window_late,5.1639,13.9953,-0.0881,0,True
blend_w1=0.75_w2=1.0_w3=0.25,0.75,1.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=1.0_w3=0.25,0.75,1.0,0.25,window_late,5.1706,14.0145,-0.0814,0,True
blend_w1=0.75_w2=1.0_w3=0.5,0.75,1.0,0.5,window_early,17.072,,0.0,0,True
