site_id,rows,valid_rate,negative_large_rate,over_capacity_rate,day_zero_rate,day_zero_run_rate,has_geo,coastal_flag,quality_score
S046,28464,0.39657110736368745,0.0,0.0,,,1,1,0.4387998875772906
S047,28464,0.8827993254637436,0.0,0.0,0.18576349024110217,0.0,1,0,0.9125388913520347
S048,28464,0.28291877459246767,0.0,0.00983698707138842,0.8124283421233662,0.0,1,1,0.5439470881622444
S049,28464,1.0,0.0,0.0,0.03624684560679055,0.0,1,0,0.9909382885983022
S050,28464,0.28277824620573355,0.0,0.00983698707138842,0.7648003671408903,0.0,1,0,0.5558048969725065
S051,28464,0.2829539066891512,0.0,0.00983698707138842,0.7731343283582089,0.0,1,0,0.553782887837373
S052,28464,0.4966273187183811,0.0,0.15883220910623946,0.5893431327514929,0.0,1,0,0.6447173365423122
S053,28464,1.0,0.0,0.0,0.018369690011481057,0.0,1,0,0.9954075774971296
S054,28464,0.3712759977515458,0.0,0.0,0.6981651376146789,0.0,1,1,0.6054053148093713
S055,28464,0.28277824620573355,0.0,0.00983698707138842,0.8890420399724328,0.0,1,0,0.5247444787646208
S056,28464,0.2878372681281619,0.0,0.00983698707138842,0.7701307639366827,0.0,1,1,0.5562429554464082
S057,28464,1.0,0.0,0.0,0.1516402844689149,0.0,1,1,0.9620899288827711
S058,28464,1.0,0.0,0.0,0.02337840935136374,0.0,1,1,0.9941553976621591
S059,28464,1.0,0.0,0.0,0.06466406787434074,0.0,1,0,0.9838339830314147
S060,28464,0.2917369308600337,0.0,0.5988968521641371,0.7528089887640449,0.0,1,1,0.44412630817717313
S061,28464,0.2878372681281619,0.0,0.00983698707138842,0.7669035067614027,0.0,1,1,0.5570497697402282
S062,28464,1.0,0.0,0.0,0.10148911798396335,0.0,1,1,0.974627720504009
S063,28464,0.2828836424957841,0.0,0.00983698707138842,0.7975671333486344,0.0,1,0,0.5476500941220881
S064,28464,1.0,0.0,0.0,0.16980266177145478,0.0,1,1,0.9575493345571362
S065,28464,1.0,0.0,0.0,0.04338842975206612,0.0,1,0,0.9891528925619835
S066,28464,0.5236087689713322,0.0,0.0,,,1,1,0.4832630691399663
S067,28464,1.0,0.0,0.0,0.13310423825887743,0.0,1,1,0.9667239404352805
S068,28464,1.0,0.0,0.0,0.0791647544745296,0.0,1,0,0.9802088113813676
S069,28464,0.2828836424957841,0.0,0.00983698707138842,1.0,0.0,1,0,0.4970418774592468
S070,28464,1.0,0.0,0.0,0.09172208209126347,0.0,1,1,0.9770694794771841
S071,28464,1.0,0.0,0.0,0.22608095676172954,0.0,1,0,0.9434797608095675
S072,28464,0.7731871838111298,0.0,0.0,0.3221076746849943,0.0,1,1,0.8400885956626468
S073,28464,0.706190275435638,0.0007729061270376616,0.006956155143338955,0.35689615473175224,0.0,1,0,0.8064740360781638
S074,28464,0.38227234401349075,0.5456717256885891,0.0,0.6724850711988976,0.0,1,0,0.5611068800361384
S075,28464,0.32131815626756605,0.0,0.0,0.7226428079834825,0.0,1,0,0.5818006526977775
S076,28464,0.2829539066891512,0.0,0.00983698707138842,0.8669114272602111,0.0,1,0,0.5303386131118725
S077,28464,1.0,0.0,0.0,0.5485425751663989,0.0,1,0,0.8628643562084002
S078,28464,1.0,0.0,0.0,0.032866007814295564,0.0,1,0,0.991783498046426
S079,28464,1.0,0.0,0.0,0.043358568479008944,0.0,1,1,0.9891603578802477
S080,28464,1.0,0.0,0.0,0.02131560852624341,0.0,1,1,0.994671097868439
S081,28464,1.0,0.0,0.0,0.06290174471992654,0.0,1,1,0.9842745638200183
S082,28464,1.0,0.0,0.0,0.0640348863897177,0.0,1,1,0.9839912784025706
S083,28464,1.0,0.0,0.0,0.05017261219792865,0.0,1,0,0.9874568469505178
S084,28464,1.0,0.0,0.0,0.03741965105601469,0.0,1,1,0.9906450872359962
S085,28464,1.0,0.0,0.0,0.0714121699196326,0.0,1,0,0.9821469575200918
S086,28464,1.0,0.0,0.0,0.036722515492311224,0.0,1,1,0.9908193711269222
S087,28464,1.0,0.0,0.0,0.0565864833906071,0.0,1,1,0.985853379152348
S088,28464,1.0,0.0,0.0,0.04435761893817513,0.0,1,0,0.9889105952654562
S089,28464,0.16382096683530073,0.0,0.0,0.94287680660702,0.0,1,0,0.47161813674060027
S090,28464,1.0,0.0,0.0,0.038047215218886085,0.0,1,1,0.9904881961952785
S091,28464,1.0,0.0,0.0,0.06382001836547291,0.0,1,1,0.9840449954086317
S092,28464,1.0,0.0,0.0,0.029148496672022035,0.0,1,1,0.9927128758319945
S093,28464,0.38870151770657674,0.0,0.0,0.7,0.0,1,0,0.6110455311973019
S094,28464,1.0,0.0,0.0,0.0330654420206659,0.0,1,0,0.9917336394948335
S095,28464,1.0,0.0,0.0,,,1,1,0.65
S096,56928,0.9298939010680157,0.0,0.08391301292861159,0.17064768029398256,0.0,1,0,0.9160183427145875
S097,28464,1.0,0.0,0.0,0.05800091701054562,0.0,1,0,0.9854997707473636
S104,28464,1.0,0.0,0.0,0.01611047180667434,0.0,1,0,0.9959723820483313
S107,28464,0.3794266441821248,0.0,0.0,0.9653351698806244,0.0,1,1,0.5414655329935876
S108,28464,1.0,0.0,0.0,0.01678546792366061,0.0,1,0,0.9958036330190847
S109,28464,0.6480115233277122,0.0,0.0,0.4342437456965802,0.0,1,1,0.7682430967405542
S115,28464,1.0,0.0,0.0,0.14760485904194362,0.0,1,1,0.9630987852395141
S116,28464,1.0,0.0,0.0,0.018361257746155612,0.0,1,0,0.9954096855634611
