site_full_name,site_short_name,dev_type,scheduler_type,capacity_mw,design_capacity_mw,lon,lat,county,install_type_raw,commission_date,station_status,group_name,tracking_type,cell_type,grid_mode,source_name,site_name_norm,install_group,coastal_flag,capacity_bucket,src_priority,site_id,has_geo,geo_source,geo_confidence,geo_note,longitude,latitude
天瀚万发光伏电站,天瀚万发光伏,分布式,地调,5.688,5.688,119.142248,34.661766,海州区,屋顶,2025-03-12,运行,无,固定式,单晶硅,全额上网,dist_ledger,天瀚万发光伏,rooftop,0,medium,0,S033,1,,,,119.142248,34.661766
建魄俊达光伏电站,建魄俊达光伏,分布式,地调,3.496,3.496,119.713647,34.432424,灌云县,屋顶,2025-05-09,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,建魄俊达光伏,rooftop,0,small,0,S034,1,,,,119.713647,34.432424
国能品品鲜光伏电站,国能品品鲜光伏,分布式,地调,5.296,5.296,119.237411,34.259864,灌云县,屋顶,2023-09-27,运行,国能,固定式,单晶硅,自发自用余电上网,dist_ledger,国能品品鲜光伏,rooftop,0,medium,0,S035,1,,,,119.237411,34.259864
新朗启创光伏电站,新朗启创光伏,分布式,地调,2.97,2.97,119.234427,34.713338,连云区,屋顶,2025-04-30,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,新朗启创光伏,rooftop,1,small,0,S036,1,,,,119.234427,34.713338
华能中林三期光伏电站,华能中林三期光伏,分布式,地调,5.946,5.946,119.755537,34.502521,灌云县,屋顶,2025-04-27,运行,华能集团,固定式,单晶硅,自发自用余电上网,dist_ledger,华能中林三期光伏,rooftop,0,medium,0,S037,1,,,,119.755537,34.502521
衡诚天晴光伏电站,衡诚天晴光伏,分布式,地调,1.672,1.672,119.201559,34.549705,海州区,车棚,2025-04-28,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,衡诚天晴光伏,other,0,small,0,S038,1,,,,119.201559,34.549705
沐恒腾东光伏电站,沐恒腾东光伏,分布式,地调,3.45,3.45,118.786288,34.540131,东海县,屋顶,2025-04-30,运行,无,固定式,单晶硅,全额上网,dist_ledger,沐恒腾东光伏,rooftop,0,small,0,S039,1,,,,118.786288,34.540131
华电苏班光伏电站,华电苏班光伏,分布式,地调,5.96,5.96,118.893734,34.890817,赣榆区,屋顶,2025-04-11,运行,华电集团,固定式,单晶硅,全额上网,dist_ledger,华电苏班光伏,rooftop,1,medium,0,S040,1,,,,118.893734,34.890817
交控赣榆南光伏电站,交控赣榆南光伏,分布式,地调,2.2,2.2,119.106206,34.768953,赣榆区,地面,2023-12-30,运行,无,固定式,单晶硅,全额上网,dist_ledger,交控赣榆南光伏,ground,1,small,0,S041,1,,,,119.106206,34.768953
国能联合动力光伏电站,国能联合动力光伏,分布式,地调,3.724,3.724,119.221773,34.703167,连云区,屋顶,2024-11-22,运行,国家能源集团,固定式,单晶硅,自发自用余电上网,dist_ledger,国能联合动力光伏,rooftop,1,small,0,S042,1,,,,119.221773,34.703167
