site_id,capacity_mw,n_total,n_train_valid,zero_count,weak_count,active_count,zero_ratio,weak_ratio,active_ratio,positive_count_6_19,power_mean,power_median,power_p90
S066,5.45,7434,5726,1020,238,4468,0.17813482361159622,0.04156479217603912,0.7803003842123647,4706,1.381336011177087,1.05,3.385
S068,1.223,15344,13636,2956,572,10108,0.2167791141097096,0.04194778527427398,0.7412731006160165,10680,0.27479466119096513,0.2,0.705
S069,3.0,3438,1730,1730,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0
S070,2.1,15344,13636,2690,774,10172,0.19727192725139336,0.05676151364036374,0.7459665591082428,10946,0.4404862129656791,0.3,1.15
S071,20.0,15344,13636,4667,1143,7826,0.34225579348782637,0.08382223525960693,0.5739219712525667,8969,2.162131856849516,0.87,6.53
S072,3.125,11578,9870,1932,533,7405,0.19574468085106383,0.054002026342451874,0.7502532928064843,7938,0.9925379939209726,0.66,2.54
S073,15.0,10467,8759,1564,706,6489,0.17855919625528027,0.08060280853978764,0.7408379952049321,7195,2.8671834684324695,1.89,7.33
S074,4.0,5087,3379,414,189,2776,0.12252145605208642,0.055933708197691626,0.821544835750222,2965,1.3190204202426752,1.1,3.06
S075,2.63,4072,2364,286,90,1988,0.12098138747884941,0.03807106598984772,0.8409475465313029,2078,0.8245769881556685,0.69,1.84
S076,5.0,3440,1732,415,11,1306,0.23960739030023095,0.006351039260969977,0.754041570438799,1317,1.548620092378753,1.17,4.029000000000001
S077,0.901,15344,13636,8153,66,5417,0.5979026107362863,0.0048401290701085365,0.3972572601936052,5483,0.10732179524787326,0.0,0.42
S115,7.0,15344,13636,3101,378,10157,0.22741273100616016,0.027720739219712527,0.7448665297741273,10535,2.04286080962159,1.32,5.27
S116,22.0,15344,13636,1932,1056,10648,0.14168377823408623,0.07744206512173658,0.7808741566441771,11704,6.548866236432971,4.59,16.265
