site_id,site_name,county,install_group,capacity_MW,n_rows,test_positive_rows_6_19,test_zero_ratio_6_19_pct,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,site_status,exclude_from_ranking,exclude_reason
S046,国能新易春光伏电站,赣榆区,rooftop,4.25,1708,1304,23.65,0.6402,0.8863,20.8546,-0.3346,0.5382,测试期分布漂移,是,cf_mean漂移-0.104>=0.1或cf_p95漂移-0.188>=0.2
S032,华能中林光伏电站,灌云县,rooftop,9.335,1708,1263,26.05,1.4189,2.072,22.1965,-1.1608,0.2515,系统性偏差,是,"pred/actual=0.181超出[0.8,1.2]"
S044,国能汇菇源光伏电站,灌云县,rooftop,8.492,1708,0,100.0,1.2581,1.901,22.3858,1.2581,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S069,沐恒东海科创园光伏电站,东海县,rooftop,3.0,1708,0,100.0,0.4554,0.6763,22.5429,0.4554,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S076,太阳光东海光伏电站,东海县,rooftop,5.0,1708,0,100.0,1.0354,1.2805,25.6096,1.0354,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S045,华能华兴光伏电站,灌云县,rooftop,2.915,1708,160,90.63,0.6247,0.765,26.2442,0.6148,8.6161,测试期分布漂移,是,cf_mean漂移-0.212>=0.1或cf_p95漂移-0.624>=0.2
S053,鹰游新立成光伏发电站,灌云县,rooftop,13.33,1708,1662,2.69,2.8636,3.4994,26.252,-2.6799,0.5029,测试期分布漂移,是,cf_mean漂移0.148>=0.1或cf_p95漂移-0.096>=0.2
S019,首耀新海光伏电站,海州区,rooftop,3.0,1708,1357,20.55,0.5744,0.9219,30.73,-0.3548,0.6772,系统性偏差,是,"pred/actual=0.587超出[0.8,1.2]"
S116,林洋伊山光伏发电站,灌云县,unknown,22.0,1708,1334,21.9,4.8803,7.3368,33.349,-4.8803,0.0,系统性偏差,是,"pred/actual=0.000超出[0.8,1.2]"
S115,鑫众墩尚光伏发电站,赣榆区,unknown,7.0,1708,1130,33.84,1.5252,2.4103,34.4329,-1.5252,0.0,系统性偏差,是,"pred/actual=0.000超出[0.8,1.2]"
