site_id,hour,month,residual_norm_median,n_train,level,capacity_bucket
S011,10,11.0,-0.010332025417411149,60,site_hour_month,
S011,10,12.0,-0.019916006697618574,61,site_hour_month,
S011,11,1.0,0.0091125073731129,92,site_hour_month,
S011,11,2.0,0.00796766604396151,82,site_hour_month,
S011,11,3.0,0.01094903727129211,93,site_hour_month,
S011,11,4.0,0.0295912843626514,90,site_hour_month,
S011,11,5.0,0.028966595674136866,91,site_hour_month,
S011,11,6.0,0.04150592716550036,90,site_hour_month,
S011,11,7.0,0.0005280916890171173,62,site_hour_month,
S011,11,8.0,0.002627571609120956,61,site_hour_month,
S011,11,9.0,0.016438070532168017,59,site_hour_month,
S011,11,10.0,0.012868064479342432,62,site_hour_month,
S011,11,11.0,0.004111795150599522,60,site_hour_month,
S011,11,12.0,0.0024637392658196002,61,site_hour_month,
S011,12,1.0,0.0087671263855329,92,site_hour_month,
S011,12,2.0,0.015372589943766862,82,site_hour_month,
S011,12,3.0,0.0036650022327994153,93,site_hour_month,
S011,12,4.0,0.033478795625934844,89,site_hour_month,
S011,12,5.0,0.042134953860007866,91,site_hour_month,
S011,12,6.0,0.02364764500405589,90,site_hour_month,
S011,12,7.0,-0.016218694054126764,61,site_hour_month,
S011,12,8.0,-0.009684486699164347,62,site_hour_month,
S011,12,9.0,0.04095575439136432,59,site_hour_month,
S011,12,10.0,0.03811894874294419,62,site_hour_month,
S011,12,11.0,0.02206444054052973,60,site_hour_month,
S011,12,12.0,0.01494817738782442,61,site_hour_month,
S011,13,1.0,0.005545348358721759,92,site_hour_month,
S011,13,2.0,0.008294529134429334,82,site_hour_month,
S011,13,3.0,-0.010330009695728835,93,site_hour_month,
S011,13,4.0,0.032757335456653214,90,site_hour_month,
S011,13,5.0,0.0238253611747613,91,site_hour_month,
S011,13,6.0,0.005145139039358921,90,site_hour_month,
S011,13,7.0,0.017047628193296808,62,site_hour_month,
S011,13,8.0,0.01632375940187994,62,site_hour_month,
S011,13,9.0,0.05493161416286892,59,site_hour_month,
S011,13,10.0,0.01803338388980673,62,site_hour_month,
S011,13,11.0,0.01998329949153539,60,site_hour_month,
S011,13,12.0,0.009430496311447331,61,site_hour_month,
S011,14,1.0,-0.00030726066654066306,92,site_hour_month,
S011,14,2.0,0.004317010186981967,81,site_hour_month,
S011,14,3.0,-0.017553950864698853,93,site_hour_month,
S011,14,4.0,3.925648010682229e-05,90,site_hour_month,
S011,14,5.0,0.009479802781423078,91,site_hour_month,
S011,14,6.0,0.024708105084214206,90,site_hour_month,
S011,14,7.0,0.020546223452198187,62,site_hour_month,
S011,14,8.0,0.003868279245841042,62,site_hour_month,
S011,14,9.0,-0.0007927281878059571,59,site_hour_month,
S011,14,10.0,0.0011458441312897395,62,site_hour_month,
S011,14,11.0,0.00016432409587465634,60,site_hour_month,
S011,14,12.0,-0.0010242615578452804,61,site_hour_month,
S012,10,5.0,-0.09360927223140446,28,site_hour_month,
S012,10,6.0,0.0514803876266313,30,site_hour_month,
S012,11,5.0,-0.09249097681258324,28,site_hour_month,
S012,11,6.0,0.06232145648361975,30,site_hour_month,
S012,12,5.0,-0.08499372675422964,28,site_hour_month,
S012,12,6.0,0.0813945312166027,30,site_hour_month,
S012,13,5.0,-0.0789606794640722,28,site_hour_month,
S012,13,6.0,0.061476980495930325,30,site_hour_month,
S012,14,5.0,-0.07084667374566563,27,site_hour_month,
S012,14,6.0,0.04544224159723573,30,site_hour_month,
S014,10,5.0,0.04730276669787635,31,site_hour_month,
S014,10,6.0,-0.009328797839950092,30,site_hour_month,
S014,11,5.0,0.04770252957726728,31,site_hour_month,
S014,11,6.0,0.007817750848710206,30,site_hour_month,
S014,12,5.0,0.04740379953852095,31,site_hour_month,
S014,12,6.0,-0.011019368775245852,30,site_hour_month,
S014,13,5.0,0.06058816114070556,31,site_hour_month,
S014,13,6.0,-0.0014383154780292237,30,site_hour_month,
S014,14,5.0,0.06863993056584365,31,site_hour_month,
S014,14,6.0,0.01974852582928482,30,site_hour_month,
S016,10,5.0,0.026763611428134135,31,site_hour_month,
S016,10,6.0,0.02449286808603619,29,site_hour_month,
S016,11,5.0,0.06596603053522652,31,site_hour_month,
S016,11,6.0,-0.017683903715938212,30,site_hour_month,
S016,12,5.0,0.02981646251767036,31,site_hour_month,
S016,12,6.0,0.036226221391778515,30,site_hour_month,
S016,13,5.0,0.04760593704316792,31,site_hour_month,
S016,13,6.0,-0.007126879341184382,29,site_hour_month,
S016,14,5.0,0.02933624100940889,31,site_hour_month,
S016,14,6.0,-0.022179076781106675,30,site_hour_month,
S017,10,1.0,0.18940394504214586,30,site_hour_month,
S017,10,2.0,0.2407375949791931,28,site_hour_month,
S017,10,3.0,0.24340445391275964,31,site_hour_month,
S017,10,4.0,0.24343864315093444,27,site_hour_month,
S017,10,5.0,0.22223859833782247,28,site_hour_month,
S017,10,6.0,0.20307615080960253,46,site_hour_month,
S017,10,7.0,0.15801924093768985,28,site_hour_month,
S017,10,8.0,0.22733784702028625,29,site_hour_month,
S017,10,9.0,0.15099552947217704,28,site_hour_month,
S017,10,10.0,0.2661499217266611,19,site_hour_month,
S017,10,11.0,0.199239712424121,15,site_hour_month,
S017,10,12.0,0.12066416983624652,21,site_hour_month,
S017,11,1.0,0.2144416034868714,30,site_hour_month,
S017,11,2.0,0.23204747632838701,28,site_hour_month,
S017,11,3.0,0.262130605110131,31,site_hour_month,
S017,11,4.0,0.27906283810627963,27,site_hour_month,
S017,11,5.0,0.2652154504363512,28,site_hour_month,
S017,11,6.0,0.22203118530600258,47,site_hour_month,
