站点ID,站点名称,MAE(MW),RMSE(MW),相对误差均值(%),误差<1MW比例(%),样本数,问题标注
S032,华能中林光伏,1.3089,1.786,56.22,51.6,1263,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率56%) | ⚠️ 预测偏离极大(<1MW比例仅52%)
S033,天瀚万发光伏,0.3948,0.5805,30.19,91.6,1278,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率51%)
S035,国能品品鲜光伏,0.3313,0.4842,36.68,93.5,1285,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率55%)
S038,衡诚天晴光伏,0.1258,0.1877,25.65,100.0,1223,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率56%)
S039,沐恒腾东光伏,0.3323,0.5,146.0,91.9,1266,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S040,华电苏班光伏,0.4312,0.6217,33.43,90.0,1264,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率55%)
S041,交控赣榆南光伏,0.218,0.2939,38.12,99.4,1257,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S042,国能联合动力光伏,0.2402,0.3639,24.81,97.0,1241,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率55%)
S046,国能新易春光伏,0.3848,0.5391,76.14,92.7,1304,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S047,汇九齿轮光伏电站,0.2317,0.36,20.34,97.5,1230,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S049,华能灌云光伏,0.6675,1.0295,27.23,79.3,1238,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率54%)
S050,沐恒东海产业园光伏,0.3069,0.4458,218.73,92.9,1440,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率51%)
S051,鲲鹏德宇光伏,0.5197,0.6861,84.2,88.6,1266,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率57%)
S052,鹰游新立成二期光伏,0.6917,0.9592,42.02,70.9,1290,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S053,鹰游新立成光伏电站,2.6741,3.2151,45.27,18.8,1662,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | ⚠️ 预测偏离极大(<1MW比例仅19%)
S054,鸿天伍江光伏,0.8444,1.1293,51.24,66.5,1247,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率56%)
S055,沐恒曲阳光伏,0.5485,0.7252,119.43,79.1,1503,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率65%)
S056,昱中科技光伏,0.2433,0.319,54.43,99.2,1148,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率58%)
S059,首耀清墩光伏,0.2421,0.2812,36.27,100.0,1677,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率52%)
S060,华电蒙然源光伏,0.5448,0.6994,58.8,85.6,1251,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S061,嘉伏黎明光伏,0.2792,0.3907,38.28,97.6,1277,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S062,韩华大浦光伏电站,0.2076,0.3227,28.1,98.6,1219,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率57%)
S064,昱瑞青口光伏,0.191,0.267,37.38,99.7,1135,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率56%)
S065,中盛石榴光伏,0.131,0.1993,24.02,99.9,1413,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率50%)
S066,科来恩润石光伏,0.4098,0.5658,38.65,91.2,1281,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%)
S068,富云下车光伏,0.0701,0.1049,26.32,100.0,1230,✅ 最好站点(MAE<0.1MW) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率55%)
S070,旭日虎山光伏,0.1191,0.1743,39.94,100.0,1212,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率54%)
S071,协鑫南岗光伏,2.3843,2.8768,51.44,29.1,1495,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率60%) | ⚠️ 预测偏离极大(<1MW比例仅29%)
S072,交控大浦光伏,0.3085,0.4167,28.48,97.3,1282,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率54%)
S073,华能裕灌光伏,1.1035,1.5492,27.23,56.9,1333,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率53%) | ⚠️ 预测偏离极大(<1MW比例仅57%)
S074,华能中林二期光伏,0.2568,0.3844,33.63,97.0,1281,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率52%)
S075,旭樱新田光伏,0.196,0.2733,47.9,99.3,1281,🟠 训练数据少(n<3000) | 🔵 0值过多(零值率54%)
S116,林洋伊山光伏电站,3.3345,4.1761,104.0,24.0,1334,🔴 最差站点(MAE>0.8MW或相对误差>200%) | 🟠 训练数据少(n<3000) | 🔵 0值过多(零值率51%) | ⚠️ 预测偏离极大(<1MW比例仅24%)
