time,date,hour,site_rows,site_count,actual_city_mw,pred_city_mw,pred_nan_sites,pred_zero_sites,actual_positive_sites,capacity_sum_mw,pred_city_is_zero,actual_city_positive,suspicious_city_zero,zero_site_ratio_pct,actual_mw,pred_mw,actual_diff,pred_diff
2023-01-16 18:00:00,2023-01-16,18,22,22,0.0,1.6964316667313848,0,5,0,152.01878,False,False,False,22.727272727272727,0.0,0.0,0.0,1.6964316667313848
2023-01-16 19:00:00,2023-01-16,19,22,22,0.0,1.6405311606211317,0,5,0,152.01878,False,False,False,22.727272727272727,0.0,0.0,0.0,1.6405311606211317
2023-01-17 06:00:00,2023-01-17,6,22,22,0.0,1.8673403256570729,0,5,0,152.01878,False,False,False,22.727272727272727,0.0,0.0,0.0,1.8673403256570729
2023-01-17 07:00:00,2023-01-17,7,22,22,1.55,1.754481747308664,0,5,1,152.01878,False,True,False,22.727272727272727,1.55,1.2409,0.0,0.5135817473086641
2023-01-17 18:00:00,2023-01-17,18,22,22,0.0,1.6964316667313848,0,5,0,152.01878,False,False,False,22.727272727272727,0.0,0.0,0.0,1.6964316667313848
2023-01-17 19:00:00,2023-01-17,19,22,22,0.0,1.6405311606211317,0,5,0,152.01878,False,False,False,22.727272727272727,0.0,0.0,0.0,1.6405311606211317
2023-01-18 06:00:00,2023-01-18,6,22,22,0.0,1.8673403256570729,0,5,0,152.01878,False,False,False,22.727272727272727,0.0,0.0,0.0,1.8673403256570729
2023-01-18 07:00:00,2023-01-18,7,22,22,1.56,1.754481747308664,0,5,2,152.01878,False,True,False,22.727272727272727,1.56,1.2847,0.0,0.46978174730866407
2023-01-18 18:00:00,2023-01-18,18,22,22,0.0,1.6964316667313848,0,5,0,152.01878,False,False,False,22.727272727272727,0.0,0.0,0.0,1.6964316667313848
2023-01-18 19:00:00,2023-01-18,19,22,22,0.0,1.6405311606211317,0,5,0,152.01878,False,False,False,22.727272727272727,0.0,0.0,0.0,1.6405311606211317
