site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_rows,train_valid_positive_rows,train_valid_zero_ratio_pct,train_valid_low_output_ratio_pct,train_valid_capacity_factor_mean,train_valid_capacity_factor_p95,test_rows,test_positive_rows,test_zero_ratio_pct,test_low_output_ratio_pct,test_capacity_factor_mean,test_capacity_factor_p95,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_actual_sum_mwh,test_pred_sum_mwh,capacity_factor_shift_mean,capacity_factor_shift_p95,diagnosis_group
S040,华电苏班光伏,5.96,6360,2985,53.066,2002,1721,14.036,5.6444,0.327502,0.810403,1708,1264,25.9953,7.8454,0.180359,0.580537,0.348942,0.553489,9.286723,9.388408,1.093884,49.9415,26.8735,1836.0,2008.371164,-0.14714300000000002,-0.22986600000000001,low_sample_good
S041,交控赣榆南光伏,2.2,17592,8375,52.3931,8554,7118,16.7875,5.4945,0.350064,0.9,1708,1257,26.4052,7.5527,0.237221,0.781818,0.160565,0.257389,11.6995,12.843408,1.128434,50.1756,26.8735,891.38,1005.863575,-0.112843,-0.11818200000000001,other
S042,国能联合动力光伏,3.724,9705,4506,53.5703,3953,3265,17.4045,5.11,0.28118,0.776047,1708,1241,27.3419,7.4941,0.17726,0.56928,0.180569,0.313079,8.40707,4.387388,1.043874,46.0773,30.3279,1127.48,1176.94692,-0.10391999999999998,-0.20676700000000003,other
S044,国能汇菇源光伏,8.492,7256,469,93.5364,2528,463,81.6851,1.8196,0.066556,0.575012,1708,0,100.0,0.0,0.0,0.0,1.443713,2.010586,23.676241,246586162353713.44,2465861623537.1343,75.3513,0.0,0.0,2465.861624,-0.066556,-0.575012,other
S045,华能华兴光伏,2.915,6969,1743,74.9892,2357,1583,32.8384,17.5223,0.239546,0.891938,1708,160,90.6323,0.1756,0.027693,0.267581,0.459907,0.663333,22.75584,541.532565,6.415326,69.1452,6.8501,137.88,884.5451,-0.211853,-0.624357,other
S046,国能新易春光伏,4.25,9128,4337,52.4869,3616,3033,16.1228,7.0243,0.274242,0.748235,1708,1304,23.6534,13.466,0.170488,0.560706,0.291865,0.483252,11.370637,8.480406,1.084804,45.1405,33.548,1237.57,1342.520964,-0.10375399999999999,-0.18752899999999995,other
S047,汇九齿轮光伏电站,4.8,22968,10819,52.8953,11690,9589,17.9726,9.5723,0.214478,0.604167,1708,1230,27.9859,9.0749,0.145073,0.455521,0.182141,0.320402,6.675039,-1.418187,0.985818,42.2717,34.8946,1189.37,1172.502508,-0.069405,-0.148646,other
S048,卓贵光之明光伏,4.0,5893,2362,59.9185,1731,1233,28.7695,4.1594,0.195953,0.625,1708,1129,33.8993,3.2787,0.140164,0.4575,0.202542,0.318811,7.970264,20.26822,1.202682,58.3724,17.9157,957.6,1151.688478,-0.05578899999999998,-0.16749999999999998,low_sample_good
S049,华能灌云光伏,14.1,26304,12321,53.1592,13636,11083,18.7225,9.2769,0.189049,0.554078,1708,1238,27.5176,11.7096,0.122861,0.399965,0.489646,0.876486,6.21621,-1.623912,0.983761,40.5152,36.2998,2958.83,2910.781212,-0.066188,-0.15411299999999994,other
S050,沐恒东海产业园光伏,2.55,5889,3079,47.7161,1727,1639,5.0955,9.612,0.251616,0.6,1708,1440,15.6909,7.7283,0.093247,0.394706,0.25243,0.397638,15.593666,84.819633,1.848196,60.7143,25.2927,406.13,750.607976,-0.158369,-0.20529399999999998,other
S051,鲲鹏德宇光伏,5.025,5894,2906,50.6956,1732,1640,5.3118,8.8337,0.240741,0.567164,1708,1266,25.8782,10.9485,0.116644,0.381393,0.385549,0.587277,11.687106,42.399226,1.423992,61.2412,17.9742,1001.12,1425.587135,-0.12409700000000001,-0.18577100000000002,other
