site_id,site_name,county,install_group,capacity_bucket,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,tv_rows_6_19,tv_positive_rows_6_19,tv_zero_ratio_pct,tv_cf_mean,tv_cf_p95,test_rows_6_19,test_positive_rows_6_19,test_zero_ratio_6_19_pct,test_actual_sum_mwh,test_pred_sum_mwh,test_cf_mean,test_cf_p95,cf_mean_shift,cf_p95_shift,test_pred_actual_ratio,test_nrmse_pct,site_status,exclude_from_ranking,exclude_reason
S027,林洋伊山光伏,灌云县,rooftop,large,22.0,,,,,,,,,,,,,,,,,,,,正常评价,否,
S028,华能星耀光伏,灌云县,rooftop,small,3.14,10479.0,4742.0,54.7475904189331,4407.0,3504.0,20.49012933968686,0.2827739308771945,0.7802547770700637,1708.0,1238.0,27.5175644028103,997.3899999999999,938.2612655651283,0.18597197153895492,0.5605095541401274,-0.09680195933823957,-0.21974522292993637,0.9407165357233663,11.856759448723771,测试期分布漂移,是,cf_mean漂移0.097>=0.1或cf_p95漂移0.220>=0.2
S029,协鑫曲阳光伏电站,东海县,other,large,20.0,,,,,,,,,,,,,,,,,,,,正常评价,否,
S030,中森侍庄光伏,灌云县,rooftop,small,2.9,26304.0,12833.0,51.21274330900243,13636.0,11580.0,15.077735406277501,0.25999939308726394,0.710344827586207,1708.0,1253.0,26.639344262295083,924.5699999999999,1035.99258636204,0.18666114834854236,0.603448275862069,-0.07333824473872158,-0.10689655172413803,1.1205128723212303,8.922020057931714,正常评价,否,
S031,富云杨集光伏,灌云县,ground,small,0.9222,26304.0,11724.0,55.42883211678832,13636.0,10590.0,22.337929011440306,0.2061054021658896,0.5747126436781609,1708.0,1134.0,33.60655737704918,185.22000000000003,199.81886686332334,0.11759121985558411,0.3795272175233138,-0.08851418231030549,-0.19518542615484707,1.0788190630780872,6.0236745966605705,正常评价,否,
S032,华能中林光伏,灌云县,rooftop,medium,9.335,18000.0,8013.0,55.48333333333333,8792.0,6750.0,23.225659690627843,0.12617912861329358,0.43599357257632565,1708.0,1263.0,26.05386416861827,2648.81,1314.1268242079573,0.16613021177633466,0.5298875200856988,0.03995108316304108,0.09389394750937319,0.49611970062328264,14.922952526955333,系统性偏差,是,"pred/actual=0.496超出[0.8,1.2]"
S033,天瀚万发光伏,海州区,rooftop,medium,5.688,7065.0,3545.0,49.82307147912243,2413.0,2267.0,6.050559469539992,0.3719392670852852,0.8498593530239101,1708.0,1278.0,25.175644028103044,1716.67,1873.1458977728255,0.17670114493884984,0.560214486638537,-0.19523812214643535,-0.2896448663853731,1.091150831419449,9.182890209111733,测试期分布漂移,是,cf_mean漂移0.195>=0.1或cf_p95漂移0.290>=0.2
S034,建魄俊达光伏,灌云县,rooftop,small,3.496,5343.0,2332.0,56.3541081789257,1411.0,1261.0,10.630758327427356,0.33133949176704125,0.7951945080091533,1708.0,1071.0,37.295081967213115,913.8299999999999,1095.0157870566925,0.15304041018440617,0.5177345537757437,-0.17829908158263508,-0.2774599542334095,1.1982707801852561,10.570024970196968,测试期分布漂移,是,cf_mean漂移0.178>=0.1或cf_p95漂移0.277>=0.2
S035,国能品品鲜光伏,灌云县,rooftop,medium,5.296,19848.0,9044.0,54.433696090286176,9870.0,7759.0,21.38804457953394,0.23734358595273294,0.7212990936555891,1708.0,1285.0,24.765807962529273,1356.76,1386.3233411376218,0.1499916865364342,0.47516993957703896,-0.08735189941629876,-0.24612915407855013,1.0217896615006499,8.250773693278031,测试期分布漂移,是,cf_mean漂移0.087>=0.1或cf_p95漂移0.246>=0.2
S036,新朗启创光伏,连云区,rooftop,small,2.97,,,,,,,,,,,,,,,,,,,,正常评价,否,
S037,华能中林三期光伏,灌云县,rooftop,medium,5.946,5936.0,762.0,87.16307277628033,1754.0,3.0,99.82896237172177,0.0004727074265117337,0.0,1708.0,759.0,55.56206088992974,1146.15,1729.3661857545092,0.11285704832957981,0.4894046417759839,0.11238434090306808,0.4894046417759839,1.508848044108109,14.76490010061674,测试期分布漂移,是,cf_mean漂移0.112>=0.1或cf_p95漂移0.489>=0.2
S038,衡诚天晴光伏,海州区,other,small,1.672,5894.0,2735.0,53.59687818120123,1732.0,1512.0,12.702078521939955,0.3618490115694443,0.8878588516746401,1708.0,1223.0,28.395784543325526,526.47,572.6129095252717,0.18435269432896695,0.6160287081339714,-0.17749631724047737,-0.2718301435406687,1.0876458478645918,9.897880406602805,测试期分布漂移,是,cf_mean漂移0.177>=0.1或cf_p95漂移0.272>=0.2
