site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_daytime_rows,train_valid_daytime_positive_rows,train_valid_daytime_zero_rows,train_valid_daytime_zero_ratio_pct,train_valid_daytime_low_output_ratio_pct,train_valid_daytime_capacity_factor_mean,test_daytime_rows,test_daytime_positive_rows,test_daytime_zero_rows,test_daytime_zero_ratio_pct,test_daytime_low_output_ratio_pct,test_daytime_capacity_factor_mean,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_peak_power_ratio_p95,capacity_factor_shift
S044,S044,8.492,7256,469,93.5364,2528,463,2065,81.6851,1.8196,0.066556,1708,0,1708,100.0,0.0,0.0,1.443713,2.010586,23.676241,246586162353713.44,2465861623537.1343,75.3513,0.0,0.0,-0.066556
S045,S045,2.915,6969,1743,74.9892,2357,1583,774,32.8384,17.5223,0.239546,1708,160,1548,90.6323,0.1756,0.027693,0.459907,0.663333,22.75584,541.532565,6.415326,69.1452,6.8501,0.267581,-0.211853
S046,S046,4.25,9128,4337,52.4869,3616,3033,583,16.1228,7.0243,0.274242,1708,1304,404,23.6534,13.466,0.170488,0.291865,0.483252,11.370637,8.480406,1.084804,45.1405,33.548,0.560706,-0.10375399999999999
S047,S047,4.8,22968,10819,52.8953,11690,9589,2101,17.9726,9.5723,0.214478,1708,1230,478,27.9859,9.0749,0.145073,0.182141,0.320402,6.675039,-1.418187,0.985818,42.2717,34.8946,0.455521,-0.069405
S048,S048,4.0,5893,2362,59.9185,1731,1233,498,28.7695,4.1594,0.195953,1708,1129,579,33.8993,3.2787,0.140164,0.202542,0.318811,7.970264,20.26822,1.202682,58.3724,17.9157,0.4575,-0.05578899999999998
S049,S049,14.1,26304,12321,53.1592,13636,11083,2553,18.7225,9.2769,0.189049,1708,1238,470,27.5176,11.7096,0.122861,0.489646,0.876486,6.21621,-1.623912,0.983761,40.5152,36.2998,0.399965,-0.066188
S050,S050,2.55,5889,3079,47.7161,1727,1639,88,5.0955,9.612,0.251616,1708,1440,268,15.6909,7.7283,0.093247,0.25243,0.397638,15.593666,84.819633,1.848196,60.7143,25.2927,0.394706,-0.158369
S051,S051,5.025,5894,2906,50.6956,1732,1640,92,5.3118,8.8337,0.240741,1708,1266,442,25.8782,10.9485,0.116644,0.385549,0.587277,11.687106,42.399226,1.423992,61.2412,17.9742,0.381393,-0.12409700000000001
S052,S052,6.08,11976,5658,52.7555,5278,4342,936,17.734,11.2922,0.178845,1708,1290,418,24.4731,9.1335,0.177761,0.495032,0.78761,12.954105,-41.408009,0.58592,14.3443,62.7635,0.554276,-0.0010840000000000016
S053,S053,13.33,26304,13951,46.9624,13636,12289,1347,9.8783,2.9261,0.256579,1708,1662,46,2.6932,0.0,0.404411,2.596448,3.162384,23.72381,-41.719631,0.582804,15.9251,81.3817,0.415604,0.14783200000000002
S054,S054,11.272,8408,3759,55.2926,3196,2512,684,21.4018,7.6971,0.20327,1708,1247,461,26.9906,9.9532,0.144966,0.582184,0.906241,8.039751,22.286955,1.22287,60.0703,16.7447,0.469881,-0.058303999999999995
S055,S055,4.0,5889,2020,65.6988,1727,517,1210,70.0637,0.579,0.080787,1708,1503,205,12.0023,0.1756,0.085599,0.522703,0.709011,17.725285,97.639261,1.976393,59.719,36.007,0.2775,0.004811999999999997
S056,S056,3.15,6033,2779,53.9367,1811,1631,180,9.9393,4.9144,0.254158,1708,1148,560,32.7869,5.7377,0.137579,0.154205,0.24207,7.684774,25.973042,1.25973,62.4122,13.993,0.456032,-0.11657899999999999
S058,S058,5.99,26304,13515,48.62,13636,12219,1417,10.3916,9.2989,0.197917,1708,1296,412,24.1218,11.6511,0.158016,0.36092,0.582016,9.716456,-19.407002,0.80593,31.0304,47.0726,0.504174,-0.03990100000000002
S059,S059,2.0,26304,12838,51.1937,13636,11131,2505,18.3705,9.7683,0.215204,1708,1677,31,1.815,1.2295,0.203267,0.243474,0.283428,14.171382,-32.006533,0.679935,30.9719,67.7986,0.205,-0.011937000000000003
S060,S060,5.84,6144,3029,50.6999,1876,1778,98,5.2239,7.4094,0.338841,1708,1251,457,26.7564,7.4941,0.152557,0.459933,0.681181,11.664051,33.632376,1.336324,58.4895,18.4426,0.501113,-0.186284
S061,S061,3.784,6033,2900,51.931,1811,1623,188,10.381,8.0618,0.298006,1708,1277,431,25.2342,10.0117,0.163784,0.222056,0.353545,9.34316,15.4554,1.154554,51.9906,24.8829,0.541755,-0.13422199999999998
S062,S062,4.4537,26304,11398,56.6682,13636,10179,3457,25.352,7.0695,0.180737,1708,1219,489,28.63,10.0703,0.117718,0.152001,0.275307,6.181569,-9.489812,0.905102,37.8806,38.5246,0.383166,-0.063019
S063,S063,3.66,5892,2524,57.1623,1730,1441,289,16.7052,1.6185,0.327117,1708,1083,625,36.5925,1.171,0.201541,0.245323,0.389966,10.65482,-8.093126,0.919069,37.2951,38.7588,0.672131,-0.125576
