hour,site_id,best_alpha,hour_k,site_k_raw,k_final,n_valid,shrink_weight
10,S038,0.1,1.0398132482669618,1.3446032562807946,1.1704375374157472,60,0.4286
10,S039,0.1,1.0398132482669618,0.8513972638451907,0.9575471142236532,62,0.4366
10,S040,0.1,1.0398132482669618,1.2461237419358042,1.1298924778970196,62,0.4366
10,S041,0.1,1.0398132482669618,1.1897831962440002,1.1052930847076405,62,0.4366
10,S042,0.1,1.0398132482669618,1.1649068369934101,1.094431575739073,62,0.4366
10,S046,0.1,1.0398132482669618,1.1285431413855356,1.075962463981936,55,0.4074
10,S047,0.1,1.0398132482669618,0.9020664830568171,0.982502550332814,57,0.4161
10,S048,0.1,1.0398132482669618,0.8585966278407743,0.960690498503415,62,0.4366
10,S049,0.1,1.0398132482669618,0.9961461811827388,1.0207473457372305,62,0.4366
10,S050,0.1,1.0398132482669618,0.8923610151138573,0.9754326957634936,62,0.4366
10,S051,0.1,1.0398132482669618,0.8499472917932918,0.956914027834796,62,0.4366
10,S052,0.1,1.0398132482669618,1.2624020719999822,1.136999917784196,62,0.4366
10,S053,0.1,1.0398132482669618,1.261496209592441,1.1366044003949878,62,0.4366
10,S054,0.1,1.0398132482669618,0.8528845871763518,0.9581965089175405,62,0.4366
10,S055,0.1,1.0398132482669618,0.8236465985217637,0.96424279347799,43,0.3496
10,S056,0.1,1.0398132482669618,0.8804085274595381,0.9702140039707627,62,0.4366
10,S059,0.1,1.0398132482669618,1.0807247744063113,1.0575125609939144,61,0.4326
10,S060,0.1,1.0398132482669618,1.2367236985197798,1.1257882335886147,62,0.4366
10,S061,0.1,1.0398132482669618,1.2105763534996696,1.1136894852825305,61,0.4326
10,S062,0.1,1.0398132482669618,0.982474042262166,1.0147778202930369,62,0.4366
10,S063,0.1,1.0398132482669618,1.2461299027836203,1.128234671631244,60,0.4286
10,S064,0.1,1.0398132482669618,1.0699795041114757,1.0528638979585598,61,0.4326
10,S065,0.1,1.0398132482669618,1.0693247055313522,1.052580616303329,61,0.4326
10,S066,0.1,1.0398132482669618,1.1642885857731873,1.0941616350654546,62,0.4366
10,S068,0.1,1.0398132482669618,1.0370509010627686,1.038607153008793,62,0.4366
10,S070,0.1,1.0398132482669618,0.974445989922235,1.0112726143417994,62,0.4366
10,S071,0.1,1.0398132482669618,2.0778031424501244,1.25,62,0.4366
10,S072,0.1,1.0398132482669618,1.0531516816344266,1.045637071286559,62,0.4366
10,S073,0.1,1.0398132482669618,0.9482746188242586,1.0002114298555795,61,0.4326
10,S074,0.1,1.0398132482669618,1.2184332929352288,1.117802281854515,62,0.4366
10,S075,0.1,1.0398132482669618,1.0880577930097577,1.0608777678025487,62,0.4366
10,S076,0.1,1.0398132482669618,1.1325540311007505,1.0727212679821772,44,0.3548
10,S077,0.1,1.0398132482669618,,1.0398132482669618,3,0.0
10,S115,0.1,1.0398132482669618,1.1952279655653177,1.1076703783549764,62,0.4366
10,S116,0.1,1.0398132482669618,1.1698212187243315,1.096577291706095,62,0.4366
11,S002,0.1,1.029381352316983,0.6450476854153513,0.8615736949373973,62,0.4366
11,S003,0.1,1.029381352316983,,1.029381352316983,13,0.0
11,S004,0.1,1.029381352316983,1.1218214770680888,1.069742533546339,62,0.4366
11,S006,0.1,1.029381352316983,0.43047389880364656,0.767886548670315,62,0.4366
11,S007,0.1,1.029381352316983,1.0663983283442955,1.045543693962711,62,0.4366
11,S008,0.1,1.029381352316983,1.3580922902736363,1.1729030294529865,62,0.4366
11,S009,0.1,1.029381352316983,1.3117549345426163,1.1526712262464849,62,0.4366
11,S010,0.1,1.029381352316983,0.9476884938707965,0.9937126394742819,62,0.4366
11,S011,0.1,1.029381352316983,0.9072105966963913,0.9760391914122176,62,0.4366
11,S012,0.1,1.029381352316983,0.8145349360406607,0.9355751705625324,62,0.4366
11,S014,0.1,1.029381352316983,0.9306307152658577,0.9870596507236435,60,0.4286
11,S016,0.1,1.029381352316983,0.9004271056472551,0.9735926356726327,61,0.4326
