site_id,hour,alpha_site_hour,fit_samples,alpha_hour,hour_fit_samples,weight,alpha_final
S045,13,1.25,91,0.9655546011216521,31191,0.23273657289002558,1.031755448430935
S045,14,1.25,92,0.9542973565336459,31092,0.23469387755102042,1.0236969565308516
S045,15,1.25,92,0.9906880094365584,30796,0.23469387755102042,1.051546945997366
S045,16,1.25,91,0.9954374906215141,29728,0.23273657289002558,1.054683496640548
S045,17,1.25,92,0.9824197313369869,21222,0.23469387755102042,1.0452191821456531
S045,18,0.9183679135817324,88,1.1611772722825542,13205,0.2268041237113402,1.106107108453502
S045,19,1.0,5,1.25,1550,0.01639344262295082,1.2459016393442623
S046,6,1.235267857142857,112,1.25,6753,0.27184466019417475,1.2459951456310678
S046,7,1.25,173,1.0856105902838513,17645,0.3657505285412262,1.145736103774113
S046,8,1.1266437120991684,246,1.0147780719045463,28342,0.45054945054945056,1.065179074629596
S046,9,1.1049544931023407,245,1.014783248472599,30421,0.44954128440366975,1.0553189455997305
S046,10,1.00036791342938,245,0.9573977109331647,30960,0.44954128440366975,0.9767145909543992
S046,11,0.9240593295908155,248,0.9684269440800947,31105,0.45255474452554745,0.9483481696396909
S046,12,0.9548737972652283,248,0.9685364578913596,31213,0.45255474452554745,0.9623533560021615
S046,13,0.9183574762315742,248,0.9655546011216521,31191,0.45255474452554745,0.9441953183246825
S046,14,0.8919025007532321,246,0.9542973565336459,31092,0.45054945054945056,0.9261853885446683
S046,15,1.0437453372152188,247,0.9906880094365584,30796,0.4515539305301645,1.0146462543384398
S046,16,1.0979563206638157,248,0.9954374906215141,29728,0.45255474452554745,1.041832873560366
S046,17,1.25,199,0.9824197313369869,21222,0.39879759519038077,1.0891300990001924
S046,18,1.25,132,1.1611772722825542,13205,0.3055555555555556,1.1883175501962182
S046,19,1.0,5,1.25,1550,0.01639344262295082,1.2459016393442623
S047,6,1.25,185,1.25,6753,0.38144329896907214,1.25
S047,7,1.035942119384264,474,1.0856105902838513,17645,0.6124031007751938,1.0551934646941816
S047,8,1.2310479585512244,740,1.0147780719045463,28342,0.7115384615384616,1.1686624143262212
S047,9,1.243319280983216,788,1.014783248472599,30421,0.7242647058823529,1.180303830842421
S047,10,1.25,809,0.9573977109331647,30960,0.7294860234445446,1.1708469912353014
S047,11,1.25,811,0.9684269440800947,31105,0.72997299729973,1.1739676716687923
S047,12,1.25,815,0.9685364578913596,31213,0.7309417040358744,1.1742698989842224
S047,13,1.25,816,0.9655546011216521,31191,0.7311827956989247,1.1735361830972184
S047,14,1.248290466592735,813,0.9542973565336459,31092,0.7304582210242587,1.1690470407007973
S047,15,1.1896611657964282,807,0.9906880094365584,30796,0.7289972899728997,1.1357389012002574
S047,16,1.1858139490360327,779,0.9954374906215141,29728,0.7219647822057461,1.1328825889578533
S047,17,1.1633763871200096,558,0.9824197313369869,21222,0.6503496503496503,1.1001048291539177
S047,18,0.8353532430874192,340,1.1611772722825542,13205,0.53125,0.9880832567726388
S047,19,1.0,3,1.25,1550,0.009900990099009901,1.2475247524752475
S048,6,1.0,0,1.25,6753,0.0,1.25
S048,7,1.25,72,1.0856105902838513,17645,0.1935483870967742,1.1174278953902026
S048,8,1.0967972756853572,96,1.0147780719045463,28342,0.24242424242424243,1.0346615152453489
S048,9,1.0319340207106196,96,1.014783248472599,30421,0.24242424242424243,1.0189410114393918
S048,10,1.0107228819169551,99,0.9573977109331647,30960,0.24812030075187969,0.9706287683953081
S048,11,1.04320158132417,99,0.9684269440800947,31105,0.24812030075187969,0.9869800495617074
S048,12,1.0265317594862784,97,0.9685364578913596,31213,0.24433249370277077,0.9827065945530904
S048,13,0.9997973454629193,98,0.9655546011216521,31191,0.24623115577889448,0.9739862316378436
S048,14,1.021929269106654,97,0.9542973565336459,31092,0.24433249370277077,0.9708220303864967
S048,15,1.054479997122628,95,0.9906880094365584,30796,0.24050632911392406,1.0060303862218156
S048,16,1.0895745304327336,96,0.9954374906215141,29728,0.24242424242424243,1.0182585911818098
S048,17,1.2201133790543355,96,0.9824197313369869,21222,0.24242424242424243,1.04004243381392
S048,18,1.25,68,1.1611772722825542,13205,0.18478260869565216,1.1775901676216476
S049,6,1.25,275,1.25,6753,0.4782608695652174,1.25
S049,7,1.1066073824899672,604,1.0856105902838513,17645,0.668141592920354,1.0996394204746633
S049,8,1.083784233460046,877,1.0147780719045463,28342,0.7451146983857264,1.0661955771587293
S049,9,1.0569000414794107,934,1.014783248472599,30421,0.7568881685575365,1.0466609507970417
S049,10,1.043172475811307,947,0.9573977109331647,30960,0.7594226142742582,1.0225370071156834
S049,11,1.0500889461288865,952,0.9684269440800947,31105,0.7603833865814696,1.030521373752978
S049,12,1.0438062360758658,951,0.9685364578913596,31213,0.7601918465227818,1.0257559295567995
S049,13,1.055698756872223,949,0.9655546011216521,31191,0.7598078462770216,1.0340468379569536
S049,14,1.013557582835401,949,0.9542973565336459,31092,0.7598078462770216,0.9993237414498714
S049,15,1.017099584513422,936,0.9906880094365584,30796,0.7572815533980582,1.0106890080384552
S049,16,1.004550294737792,889,0.9954374906215141,29728,0.7476871320437343,1.00225101699609
S049,17,0.9940528807708405,612,0.9824197313369869,21222,0.6710526315789473,0.9902261868781255
S049,18,0.906606265131683,328,1.1611772722825542,13205,0.5222929936305732,1.0282166188661757
S050,6,1.0,0,1.25,6753,0.0,1.25
S050,7,1.25,87,1.0856105902838513,17645,0.2248062015503876,1.122566349057249
S050,8,1.25,106,1.0147780719045463,28342,0.26108374384236455,1.0761906935255268
S050,9,1.25,117,1.014783248472599,30421,0.2805755395683453,1.0807793154479128
S050,10,1.25,122,0.9573977109331647,30960,0.2890995260663507,1.0419888940283162
S050,11,1.25,120,0.9684269440800947,31105,0.2857142857142857,1.048876388628639
S050,12,1.25,123,0.9685364578913596,31213,0.2907801418439716,1.0503804665896168
