site_id,site_short_name,capacity_mw,county,install_type_raw,cell_type,tilt_deg,azimuth_deg,module_gamma_pdc,loss_factor,inverter_efficiency,mount_type,parameter_source
S034,建魄俊达光伏,3.496,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S035,国能品品鲜光伏,5.296,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S036,新朗启创光伏,2.97,连云区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S037,华能中林三期光伏,5.946,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S038,衡诚天晴光伏,1.672,海州区,车棚,单晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S039,沐恒腾东光伏,3.45,东海县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S040,华电苏班光伏,5.96,赣榆区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S041,交控赣榆南光伏,2.2,赣榆区,地面,单晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S042,国能联合动力光伏,3.724,连云区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S043,博爱东海光伏,0.9,东海县,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S044,国能汇菇源光伏,8.492,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S045,华能华兴光伏,2.915,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S046,国能新易春光伏,4.25,赣榆区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S047,汇九齿轮光伏电站,4.8,灌云县,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S048,卓贵光之明光伏,4.0,连云区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S049,华能灌云光伏,14.1,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
