site_id,site_name,county,install_group,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,tv_cf_mean,tv_cf_p95,tv_zero_ratio_pct,test_rows_6_19,test_positive_rows_6_19,test_zero_ratio_6_19_pct,test_actual_sum_mwh,test_pred_sum_mwh,test_cf_mean,test_cf_p95,cf_mean_shift,cf_p95_shift,test_pred_actual_ratio,test_nrmse_pct,site_status,exclude_from_ranking,exclude_reason
S034,建魄俊达光伏电站,灌云县,rooftop,3.496,5343,2332,56.3541081789257,0.33133949176704125,0.7951945080091533,10.630758327427356,1708,1071,37.295081967213115,913.8299999999999,971.3518511833402,0.15304041018440617,0.5177345537757437,-0.17829908158263508,-0.2774599542334095,1.0629458993284748,10.218513582094687,测试期分布漂移,是,cf_mean漂移-0.178>=0.1或cf_p95漂移-0.277>=0.2
S035,国能品品鲜光伏电站,灌云县,rooftop,5.296,19848,9044,54.433696090286176,0.23734358595273294,0.7212990936555891,21.38804457953394,1708,1285,24.765807962529273,1356.76,1470.4654826842739,0.1499916865364342,0.47516993957703896,-0.08735189941629876,-0.24612915407855013,1.0838066295323225,8.588806758831986,测试期分布漂移,是,cf_mean漂移-0.087>=0.1或cf_p95漂移-0.246>=0.2
S036,新朗启创光伏电站,连云区,rooftop,2.97,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S037,华能中林三期光伏电站,灌云县,rooftop,5.946,5936,762,87.16307277628033,0.0004727074265117337,0.0,99.82896237172177,1708,759,55.56206088992974,1146.15,1636.6264743122442,0.11285704832957981,0.4894046417759839,0.11238434090306808,0.4894046417759839,1.4279339303862881,14.518330774129176,测试期分布漂移,是,cf_mean漂移0.112>=0.1或cf_p95漂移0.489>=0.2
S038,衡诚天晴光伏电站,海州区,other,1.672,5894,2735,53.59687818120123,0.3618490115694443,0.8878588516746401,12.702078521939955,1708,1223,28.395784543325526,526.47,489.2755151908668,0.18435269432896695,0.6160287081339714,-0.17749631724047737,-0.2718301435406687,0.9293511789672095,10.225774549942509,测试期分布漂移,是,cf_mean漂移-0.177>=0.1或cf_p95漂移-0.272>=0.2
S039,沐恒腾东光伏电站,东海县,rooftop,3.45,5889,2913,50.53489556800815,0.27045643362453115,0.6753623188405797,4.632310364794441,1708,1266,25.878220140515225,651.1400000000001,792.8329675772214,0.11050130672368734,0.39608695652173875,-0.1599551269008438,-0.279275362318841,1.2176075307571663,9.068257248198826,测试期分布漂移,是,cf_mean漂移-0.160>=0.1或cf_p95漂移-0.279>=0.2
S040,华电苏班光伏电站,赣榆区,rooftop,5.96,6360,2985,53.06603773584906,0.32750219579078643,0.8104026845637584,14.035964035964035,1708,1264,25.995316159250585,1836.0,1689.884750129073,0.1803593040252739,0.5805369127516778,-0.14714289176551254,-0.22986577181208057,0.9204165305713905,9.34423343020338,测试期分布漂移,是,cf_mean漂移-0.147>=0.1或cf_p95漂移-0.230>=0.2
S041,交控赣榆南光伏电站,赣榆区,ground,2.2,17592,8375,52.3931332423829,0.3500642974047229,0.8999999999999999,16.787467851297638,1708,1257,26.405152224824356,891.3799999999999,857.2220154379468,0.23722056631892696,0.7818181818181817,-0.11284373108579593,-0.11818181818181817,0.9616796601202033,11.32362139298225,测试期分布漂移,是,cf_mean漂移-0.113>=0.1或cf_p95漂移-0.118>=0.2
S042,国能联合动力光伏电站,连云区,rooftop,3.724,9705,4506,53.57032457496136,0.2811798025293438,0.776047261009667,17.4045029091829,1708,1241,27.341920374707264,1127.48,1029.4718623728668,0.17726022986539616,0.569280343716434,-0.10391957266394766,-0.20676691729323304,0.9130732805662777,8.791589871131666,测试期分布漂移,是,cf_mean漂移-0.104>=0.1或cf_p95漂移-0.207>=0.2
S043,博爱东海光伏发电站,东海县,rooftop,0.9,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S044,国能汇菇源光伏电站,灌云县,rooftop,8.492,7256,469,93.53638368246968,0.06655649844678833,0.575011775788978,81.68512658227847,1708,0,100.0,0.0,2333.4976147405337,0.0,0.0,-0.06655649844678833,-0.575011775788978,,23.385821316640246,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S045,华能华兴光伏电站,灌云县,rooftop,2.915,6969,1743,74.9892380542402,0.23954630235399682,0.8919382504288165,32.83835383962664,1708,160,90.63231850117096,137.88,905.7227762576441,0.02769330885631535,0.26758147512864494,-0.21185299349768147,-0.6243567753001715,6.568920628500465,23.077938709257158,测试期分布漂移,是,cf_mean漂移-0.212>=0.1或cf_p95漂移-0.624>=0.2
S046,国能新易春光伏电站,赣榆区,rooftop,4.25,9128,4337,52.486853637160394,0.27424193128578866,0.7482352941176471,16.12278761061947,1708,1304,23.653395784543328,1237.57,552.0010804192001,0.17048767047802726,0.5607058823529405,-0.1037542608077614,-0.1875294117647066,0.4460362487933613,18.23951175911806,测试期分布漂移,是,cf_mean漂移-0.104>=0.1或cf_p95漂移-0.188>=0.2
S047,汇九齿轮光伏发电站,灌云县,rooftop,4.8,22968,10819,52.89533263671194,0.21447836469917309,0.6041666666666666,17.972626176218988,1708,1230,27.985948477751755,1189.37,1176.3057883338038,0.14507342896174863,0.45552083333333304,-0.06940493573742446,-0.1486458333333336,0.9890158557335429,6.765966761569034,正常评价,否,
S048,卓贵光之明光伏电站,连云区,rooftop,4.0,5893,2362,59.918547429153236,0.19595320623916812,0.625,28.769497400346623,1708,1129,33.89929742388759,957.6,950.7416295213287,0.14016393442622951,0.4575,-0.05578927181293861,-0.16749999999999998,0.9928379589821729,7.653029960958438,正常评价,否,
S049,华能灌云光伏发电站,灌云县,rooftop,14.1,26304,12321,53.159215328467155,0.1890488569056877,0.5540780141843972,18.722499266647112,1708,1238,27.5175644028103,2958.83,2801.7568254821936,0.12286071387048018,0.39996453900709195,-0.06618814303520752,-0.15411347517730523,0.9469137549241402,6.321360526974676,正常评价,否,
S050,沐恒东海产业园光伏电站,东海县,rooftop,2.55,5889,3079,47.71608082866361,0.25161619946183456,0.6000000000000001,5.095541401273886,1708,1440,15.690866510538642,406.13,581.3636245014002,0.09324746291959406,0.3947058823529407,-0.15836873654224048,-0.2052941176470594,1.4314717565838528,13.3341386495339,测试期分布漂移,是,cf_mean漂移-0.158>=0.1或cf_p95漂移-0.205>=0.2
S051,鲲鹏德宇光伏电站,灌云县,rooftop,5.025,5894,2906,50.6956226671191,0.24074086840623668,0.5671641791044776,5.311778290993072,1708,1266,25.878220140515225,1001.1199999999999,1262.5515440825657,0.11664394654362846,0.38139303482587034,-0.12409692186260822,-0.18577114427860725,1.2611390683260406,11.757195095390113,测试期分布漂移,是,cf_mean漂移-0.124>=0.1或cf_p95漂移-0.186>=0.2
S052,鹰游新立成二期光伏电站,灌云县,rooftop,6.08,11976,5658,52.75551102204409,0.17884472038850444,0.6022203947368415,17.733990147783253,1708,1290,24.473067915690866,1845.98,1086.8138789045775,0.17776061567854062,0.5542763157894737,-0.0010841047099638124,-0.04794407894736785,0.5887462913490815,13.253422841283088,系统性偏差,是,"pred/actual=0.589超出[0.8,1.2]"
S053,鹰游新立成光伏发电站,灌云县,rooftop,13.33,26304,13951,46.96243917274939,0.2565793252361198,0.5116279069767442,9.878263420357875,1708,1662,2.693208430913349,9207.480000000003,5009.893740165133,0.4044108216749738,0.4156039009752438,0.14783149643885396,-0.0960240060015004,0.5441112812805601,24.170505818734657,测试期分布漂移,是,cf_mean漂移0.148>=0.1或cf_p95漂移-0.096>=0.2
S054,鸿天伍江光伏电站,连云区,rooftop,11.272,8408,3759,55.29257849666984,0.2032698564831305,0.575762952448545,21.401752190237797,1708,1247,26.990632318501174,2790.9700000000003,3416.615184917401,0.14496605545148866,0.4698811213626684,-0.058303801031641844,-0.10588183108587662,1.2241676495689315,8.55959675151259,系统性偏差,是,"pred/actual=1.224超出[0.8,1.2]"
S055,沐恒曲阳光伏电站,东海县,rooftop,4.0,5889,2020,65.69876040074716,0.08078749276201505,0.485,70.06369426751591,1708,1503,12.002341920374707,584.8100000000002,910.0217496260993,0.08559865339578457,0.2775,0.004811160633769518,-0.20749999999999996,1.556098133797471,15.53625150424007,测试期分布漂移,是,cf_mean漂移0.005>=0.1或cf_p95漂移-0.207>=0.2
