site_id,hour,calibrated_ratio,n,calibration_level
S025,9,0.9598409923938085,62.0,4
S025,10,0.9768994185740232,62.0,4
S025,11,0.9727088156545713,62.0,4
S025,12,0.9628861382290463,62.0,4
S025,13,0.9535807487619145,62.0,4
S025,14,0.9660810576237887,62.0,4
S025,15,0.9668709068480998,62.0,4
S025,16,0.9819181419553645,62.0,4
S025,17,1.0004092056340115,62.0,4
S025,18,0.951216907806783,62.0,4
S025,19,0.85,62.0,4
S028,6,1.1172069507848845,62.0,4
S028,7,1.0795611951808233,62.0,4
S028,8,1.059437266494327,62.0,4
S028,9,1.062103448006885,62.0,4
S028,10,1.080469402396339,62.0,4
S028,11,1.0649364691534267,62.0,4
S028,12,1.0576532781199324,62.0,4
S028,13,1.0783187893322572,62.0,4
S028,14,1.080975385576624,62.0,4
S028,15,1.0650122527715735,62.0,4
S028,16,1.0686038325724911,62.0,4
S028,17,1.0538076702778993,62.0,4
S028,18,0.9828463964903041,62.0,4
S028,19,0.85,62.0,4
S030,6,1.15,62.0,1
S030,7,1.128128853372618,62.0,1
S030,8,1.0607985256015948,62.0,1
S030,9,1.0512298539569676,62.0,1
S030,10,1.0503669436435956,62.0,1
S030,11,1.033650929372835,62.0,1
S030,12,1.0072067614206328,62.0,1
S030,13,1.0333062026611937,62.0,1
S030,14,1.0373993102087267,62.0,1
S030,15,1.016074879585766,62.0,1
S030,16,1.0265204055050714,62.0,1
S030,17,1.0070614240449087,62.0,1
S030,18,0.9544676070723358,62.0,1
S030,19,1.15,62.0,1
S031,6,1.15,62.0,1
S031,7,1.0186549599922965,62.0,1
S031,8,0.9957707939396586,62.0,1
S031,9,1.0123124007877489,62.0,1
S031,10,1.0101505372998414,62.0,1
S031,11,1.0249666040312082,62.0,1
S031,12,1.0245817375700208,62.0,1
S031,13,1.0369373838623024,62.0,1
S031,14,1.0432166986528204,62.0,1
S031,15,1.0521628465706339,62.0,1
S031,16,1.0584997082605745,62.0,1
S031,17,1.035517800521358,62.0,1
S031,18,0.9737664096334275,62.0,1
S031,19,0.9892540757027554,62.0,1
S032,6,0.85,62.0,1
S032,7,1.15,62.0,1
S032,8,1.15,62.0,1
S032,9,1.15,62.0,1
S032,10,1.15,62.0,1
S032,11,1.15,62.0,1
S032,12,1.15,62.0,1
S032,13,1.15,62.0,1
S032,14,1.15,62.0,1
S032,15,1.15,62.0,1
S032,16,1.15,62.0,1
S032,17,1.15,62.0,1
S032,18,1.15,62.0,1
S032,19,0.85,62.0,1
S033,6,1.15,62.0,4
S033,7,1.0972447017410165,62.0,4
S033,8,1.089376012111437,62.0,4
S033,9,1.0516136849855888,62.0,4
S033,10,1.0680057718348577,62.0,4
S033,11,1.0794154244369651,62.0,4
S033,12,1.0641425181991129,62.0,4
S033,13,1.0514786477528055,62.0,4
S033,14,1.0463383550480347,62.0,4
S033,15,1.0705369732448655,62.0,4
S033,16,1.1291550933478098,62.0,4
S033,17,1.1483834887226785,62.0,4
S033,18,1.108533076029953,62.0,4
S033,19,1.15,62.0,4
S034,6,1.15,62.0,4
S034,7,1.112580250030387,62.0,4
S034,8,1.0820528756592784,62.0,4
S034,9,1.065912950216514,62.0,4
S034,10,1.0522194313185398,62.0,4
S034,11,1.0521001726018446,62.0,4
S034,12,1.0192054740979652,62.0,4
S034,13,1.0355380040216413,62.0,4
S034,14,1.0667239844452912,62.0,4
S034,15,1.0605275460045245,62.0,4
S034,16,1.062561540068898,62.0,4
S034,17,1.0200653137676907,62.0,4
S034,18,1.0214991812350775,62.0,4
S034,19,0.85,62.0,4
S035,6,1.0751426506948805,62.0,4
S035,7,1.008274297035119,62.0,4
S035,8,0.983346647987106,62.0,4
S035,9,0.9826646466496889,62.0,4
S035,10,0.9772805391401639,62.0,4
S035,11,0.9571662521779272,62.0,4
S035,12,0.958866431065207,62.0,4
S035,13,0.9635956640089762,62.0,4
S035,14,0.9696097922813733,62.0,4
S035,15,0.9734494269261984,62.0,4
S035,16,0.9973837718206304,62.0,4
S035,17,1.0060924750146096,62.0,4
S035,18,0.9605370917732214,62.0,4
S035,19,0.9452894909016968,62.0,4
S037,6,0.85,62.0,4
S037,7,0.85,62.0,4
S037,8,0.85,62.0,4
S037,9,0.85,62.0,4
S037,10,0.85,62.0,4
S037,11,0.85,62.0,4
S037,12,0.85,62.0,4
S037,13,0.85,62.0,4
S037,14,0.85,62.0,4
S037,15,0.85,62.0,4
S037,16,0.85,62.0,4
S037,17,0.85,62.0,4
S037,18,0.85,62.0,4
S037,19,0.85,62.0,4
S038,6,1.15,62.0,4
S038,7,1.0710554776500798,62.0,4
S038,8,1.0470959356050686,62.0,4
S038,9,1.0314866294836706,62.0,4
S038,10,1.0442999894520875,62.0,4
S038,11,1.0482489463637599,62.0,4
S038,12,1.0572408546697702,62.0,4
S038,13,1.05947085295809,62.0,4
S038,14,1.072074845516274,62.0,4
S038,15,1.0634134012932834,62.0,4
S038,16,1.0959574601212516,62.0,4
S038,17,1.053221619562428,62.0,4
S038,18,1.045969779649865,62.0,4
S038,19,1.15,62.0,4
S039,6,1.15,62.0,4
S039,7,1.1241743018880783,62.0,4
S039,8,1.0679389886229615,62.0,4
S039,9,1.0278179168242458,62.0,4
S039,10,1.0390807690552237,62.0,4
S039,11,1.0283104436414616,62.0,4
S039,12,1.0143768378719662,62.0,4
S039,13,1.0120335456269767,62.0,4
S039,14,1.0524926731213227,62.0,4
S039,15,1.1040718147334792,62.0,4
S039,16,1.0753379943612633,62.0,4
S039,17,1.0915873809555077,62.0,4
S039,18,1.0791562784607605,62.0,4
S039,19,1.15,62.0,4
S040,6,1.15,62.0,4
S040,7,1.1338142960032427,62.0,4
S040,8,1.106579897199283,62.0,4
S040,9,1.0955314640225229,62.0,4
S040,10,1.0699354414303137,62.0,4
S040,11,1.0719677254722444,62.0,4
S040,12,1.045289143209668,62.0,4
S040,13,1.0624173049437202,62.0,4
S040,14,1.070045362700333,62.0,4
S040,15,1.1035266934882966,62.0,4
S040,16,1.15,62.0,4
S040,17,1.1396932217588849,62.0,4
S040,18,1.15,62.0,4
S040,19,1.15,62.0,4
S041,6,1.15,62.0,4
S041,7,1.0522344417458163,62.0,4
S041,8,1.0866965917828877,62.0,4
S041,9,1.074944877162387,62.0,4
S041,10,1.0897082828029565,62.0,4
S041,11,1.0769143146000202,62.0,4
S041,12,1.0559758567090853,62.0,4
S041,13,1.0507526586410791,62.0,4
S041,14,1.0478980213443745,62.0,4
S041,15,1.0355604352868792,62.0,4
S041,16,1.0535268129718816,62.0,4
S041,17,1.0315331346978827,62.0,4
S041,18,0.9642436518499986,62.0,4
S041,19,0.937492109045639,62.0,4
S042,6,1.15,62.0,4
S042,7,1.107616514263257,62.0,4
S042,8,1.0687302577761395,62.0,4
S042,9,1.0570163584155667,62.0,4
S042,10,1.0634991427487976,62.0,4
S042,11,1.0405113310742218,62.0,4
S042,12,1.0358577531593163,62.0,4
S042,13,1.0389492078624314,62.0,4
S042,14,1.0447654916369655,62.0,4
S042,15,1.0534996623560478,62.0,4
S042,16,1.0795633447507234,62.0,4
S042,17,1.078433048424643,62.0,4
S042,18,1.0528966746318817,62.0,4
S042,19,1.15,62.0,4
S044,6,0.85,62.0,1
S044,7,0.85,62.0,1
S044,8,0.85,62.0,1
S044,9,0.85,62.0,1
S044,10,0.85,62.0,1
S044,11,0.85,62.0,1
S044,12,0.85,62.0,1
S044,13,0.85,62.0,1
S044,14,0.85,62.0,1
S044,15,0.85,62.0,1
S044,16,0.85,62.0,1
S044,17,0.85,62.0,1
S044,18,0.85,62.0,1
S044,19,0.85,62.0,1
S045,6,0.8678132619403216,62.0,4
S045,7,0.8629864847515978,62.0,4
S045,8,0.8641070277747094,62.0,4
S045,9,0.865446864776392,62.0,4
S045,10,0.8545467932637858,62.0,4
S045,11,0.8609218036237763,62.0,4
S045,12,0.8583514386883441,62.0,4
S045,13,0.8624688622683344,62.0,4
S045,14,0.8587809105499251,62.0,4
S045,15,0.8525061866218636,62.0,4
S045,16,0.86230237664543,62.0,4
S045,17,0.85,62.0,4
S045,18,0.85,62.0,4
S045,19,0.85,62.0,4
S046,6,0.9695449664580723,62.0,4
S046,7,1.15,62.0,4
S046,8,1.15,62.0,4
S046,9,1.15,62.0,4
S046,10,1.15,62.0,4
S046,11,1.1072345818775262,62.0,4
S046,12,1.1279702261306888,62.0,4
S046,13,1.10743883145769,62.0,4
S046,14,1.15,62.0,4
S046,15,1.15,62.0,4
S046,16,1.15,62.0,4
S046,17,1.15,62.0,4
S046,18,1.0670568490445076,62.0,4
S046,19,0.85,62.0,4
S047,6,0.9847452217362559,62.0,1
S047,7,0.9886796597972077,62.0,1
S047,8,0.9808603686733327,62.0,1
S047,9,0.9651870632928079,62.0,1
S047,10,0.9644216855893676,62.0,1
S047,11,0.9366449522338065,62.0,1
S047,12,0.9301356481332582,62.0,1
S047,13,0.9385065354603946,62.0,1
S047,14,0.9534572420980294,62.0,1
S047,15,0.96733734331756,62.0,1
S047,16,0.986851356293281,62.0,1
S047,17,0.9797112340124017,62.0,1
S047,18,0.9370387187381208,62.0,1
S047,19,0.8795137475132104,62.0,1
S048,6,1.15,62.0,1
S048,7,1.1096837872398675,62.0,1
S048,8,1.0793942750848065,62.0,1
S048,9,1.0425933118770518,62.0,1
S048,10,1.0029341483921292,62.0,1
S048,11,1.0048718055070778,62.0,1
S048,12,1.0033482973534997,62.0,1
S048,13,0.97355099757079,62.0,1
S048,14,1.0167097971738652,62.0,1
S048,15,1.0822163468937631,62.0,1
S048,16,1.1121973850946687,62.0,1
S048,17,1.0503297154577267,62.0,1
S048,18,1.1431002096575882,62.0,1
S048,19,0.85,62.0,1
S049,6,1.15,62.0,1
S049,7,1.0442790320310076,62.0,1
S049,8,0.9959219010069207,62.0,1
S049,9,0.9985877605075156,62.0,1
S049,10,1.0008523156952303,62.0,1
S049,11,0.9977090112120892,62.0,1
S049,12,0.9937731401148346,62.0,1
S049,13,0.9911255889930453,62.0,1
S049,14,1.0025348503698523,62.0,1
S049,15,0.9960500088764153,62.0,1
S049,16,0.9912107229909053,62.0,1
S049,17,0.9729864892101947,62.0,1
S049,18,0.9548525324445432,62.0,1
S049,19,0.85,62.0,1
S050,6,1.15,62.0,4
S050,7,1.1148197025773945,62.0,4
S050,8,1.0879207658490153,62.0,4
S050,9,1.0498972992095568,62.0,4
S050,10,1.06487584615324,62.0,4
S050,11,1.0841883361531186,62.0,4
S050,12,1.0973769141329788,62.0,4
S050,13,1.055934807312926,62.0,4
S050,14,1.0650967837785748,62.0,4
S050,15,1.0831909187813045,62.0,4
S050,16,1.08650309528175,62.0,4
S050,17,1.07280531844581,62.0,4
S050,18,1.0476112875064874,62.0,4
S050,19,0.9902335145469242,62.0,4
S051,6,1.15,62.0,4
S051,7,0.9853764039656159,62.0,4
S051,8,0.9861649498024394,62.0,4
S051,9,0.9598912099412186,62.0,4
S051,10,0.979933980440407,62.0,4
S051,11,0.9531037751031288,62.0,4
S051,12,0.9590845885677585,62.0,4
S051,13,0.9706621198824005,62.0,4
S051,14,0.9836299228165171,62.0,4
S051,15,0.9776108245735373,62.0,4
S051,16,1.0629689836571008,62.0,4
S051,17,1.075415181991485,62.0,4
S051,18,1.15,62.0,4
S051,19,1.15,62.0,4
S052,6,1.0364251232166328,62.0,1
S052,7,1.0520585858165346,62.0,1
S052,8,1.0571211011807087,62.0,1
S052,9,1.0909494037001113,62.0,1
S052,10,1.0863946419729533,62.0,1
S052,11,1.067786130672848,62.0,1
S052,12,1.0555597346810084,62.0,1
S052,13,1.0730709646890624,62.0,1
S052,14,1.0723428984652175,62.0,1
S052,15,1.073778988268729,62.0,1
S052,16,1.0954309653894645,62.0,1
S052,17,1.0974671697939586,62.0,1
S052,18,1.0039001900254174,62.0,1
S052,19,0.8783450954903345,62.0,1
S053,6,1.15,62.0,4
S053,7,1.1131876543883283,62.0,4
S053,8,1.0776549055484856,62.0,4
S053,9,1.0651559508799067,62.0,4
S053,10,1.0720380041101194,62.0,4
S053,11,1.0596835052325568,62.0,4
S053,12,1.0495395620167383,62.0,4
S053,13,1.0508540325253404,62.0,4
S053,14,1.0514303000778031,62.0,4
S053,15,1.0570693887697857,62.0,4
S053,16,1.0762087346127223,62.0,4
S053,17,1.0966192369538548,62.0,4
S053,18,1.1063766886596136,62.0,4
S053,19,1.15,62.0,4
S054,6,1.15,62.0,1
S054,7,1.009379799014866,62.0,1
S054,8,0.9779898467272873,62.0,1
S054,9,0.9598059171770579,62.0,1
S054,10,0.9657815746092302,62.0,1
S054,11,0.968796905660534,62.0,1
S054,12,0.9722798197477933,62.0,1
S054,13,0.9617158792451743,62.0,1
S054,14,0.9634994917553891,62.0,1
S054,15,0.9705520618833856,62.0,1
S054,16,0.9929006288100419,62.0,1
S054,17,0.9887929385804484,62.0,1
S054,18,0.9736440678690647,62.0,1
S054,19,0.8637363779035874,62.0,1
S055,6,0.9015455666214259,62.0,4
S055,7,0.940701153561999,62.0,4
S055,8,0.9370867709689479,62.0,4
S055,9,0.929042292680717,62.0,4
S055,10,0.9136151525878915,62.0,4
S055,11,0.9284246159308172,62.0,4
S055,12,0.9142141864388571,62.0,4
S055,13,0.9143259041641352,62.0,4
S055,14,0.9195368351126727,62.0,4
S055,15,0.9650942008361669,62.0,4
S055,16,1.0027206979931713,62.0,4
S055,17,0.9886252239604918,62.0,4
S055,18,1.0757865326490024,62.0,4
S055,19,1.015477395606837,62.0,4
S056,6,1.15,62.0,4
S056,7,1.0891167596491438,62.0,4
S056,8,1.0431447821659279,62.0,4
S056,9,1.030698288633224,62.0,4
S056,10,1.0542034274050394,62.0,4
S056,11,1.0209207130585305,62.0,4
S056,12,1.015651863522746,62.0,4
S056,13,1.0220881472169894,62.0,4
S056,14,1.0446995655754696,62.0,4
S056,15,1.0639627988165976,62.0,4
S056,16,1.0641870133165474,62.0,4
S056,17,1.0423673972205925,62.0,4
S056,18,1.078902840724308,62.0,4
S056,19,1.15,62.0,4
S058,6,1.0482007647019644,62.0,1
S058,7,1.0195686573368947,62.0,1
S058,8,1.0236241386188676,62.0,1
S058,9,1.0283186934746684,62.0,1
S058,10,1.0333413416591293,62.0,1
S058,11,1.0188467516606432,62.0,1
S058,12,1.0106868707075347,62.0,1
S058,13,1.0088319176481106,62.0,1
S058,14,1.0042571648743197,62.0,1
S058,15,1.0244072919727119,62.0,1
S058,16,1.0388190484766744,62.0,1
S058,17,1.0228357132154708,62.0,1
S058,18,0.9323123642973398,62.0,1
S058,19,0.85,62.0,1
S059,6,0.9447529048277556,62.0,4
S059,7,0.9894157453961208,62.0,4
S059,8,0.98954749326688,62.0,4
S059,9,1.005258456399505,62.0,4
