站点名,总样本数,有效非零样本,零值率,MAE,RMSE,MSE,相对MAE,相对RMSE,相关系数,真值均值,真值最大值,预测均值,预测最大值,综合评分
鲲鹏德宇光伏,2936,1266,0.5688010899182562,0.15289393657572628,0.3378735205755335,0.11415851590610544,0.7207876261720612,1.5965672311305001,0.8320421778571309,0.3409809264305177,3.41,0.3465993348249544,2.5758331930737186,0.2857093647339882
华电苏班光伏,2936,1264,0.5694822888283378,0.17128982471069784,0.3915562187527849,0.15331627244397875,0.47074252506045433,0.9947872148207098,0.9349446406262248,0.6253405994550408,5.45,0.6841770823511014,4.724502057898982,0.29076923219955586
华筑泰宝光伏,2936,1415,0.5180517711171662,0.1696867151123906,0.35254692221587963,0.12428933236388949,0.563760475934116,0.9332616015028539,0.7640493765000684,0.3684128065395095,2.8,0.24562971639992573,1.8683662224568631,0.29115854069347896
国能品品鲜光伏,2936,1285,0.5623297002724795,0.16664135826550203,0.3618847870935315,0.13096059912973063,0.5576898136760274,1.045799475938171,0.8853779400340246,0.4621117166212534,4.05,0.4144090865111803,3.4391301712329945,0.29177334004598054
华能中林三期光伏,2936,759,0.7414850136239782,0.18046187571494093,0.39800569430768407,0.15840853270134167,0.4896165817843723,0.9744911017349586,0.9085117315766214,0.39037806539509534,4.1,0.5027876701837284,3.714230254409799,0.3361509514917213
国能百菇源光伏,2936,1261,0.5705040871934605,0.18496403804424222,0.40134470875070744,0.16107757524219016,0.6724498365525415,1.263902162218518,0.9138509672222019,0.460708446866485,4.09,0.5799317948363528,3.365112272650685,0.33979027467931594
天瀚万发光伏,2936,1278,0.5647138964577657,0.19197664495962613,0.4113027316711743,0.16916993708017,0.614900548957888,1.2722062206944513,0.9278321014923626,0.5846968664850136,5.11,0.6685752977039588,4.2460400243737855,0.34406749592071634
鹰游新立成二期光伏,2936,1290,0.5606267029972752,0.209545784672899,0.47181085749915735,0.22260548525409016,0.4611265117374646,0.8356583788177211,0.9154766428678481,0.6287397820163487,5.54,0.47559007194732494,3.026866308164916,0.35273821404799915
衡航亚新光伏,2936,1062,0.638283378746594,0.2370427306731756,0.5080020353480045,0.2580660679177152,0.5361914095592079,1.0267897430073203,0.9144508361395771,0.6823467302452316,6.04,0.7943445654572562,4.959976494669493,0.4275617360210985
鸿天伍江光伏,2936,1247,0.5752724795640327,0.28251808618386,0.6288453675337566,0.39544649626866546,0.5618536084250946,1.3009587493339068,0.9290025932697324,0.9506028610354225,8.42,1.0302610900476183,6.274549063230553,0.4987264867794311
华能灌云光伏,2936,1238,0.5783378746594006,0.2981934523919538,0.7060220658821438,0.4984671575124902,0.6528346664248191,1.8022878127613504,0.9145436726592063,1.007775885558583,10.16,1.0171359774082915,6.772841312164137,0.5459376736931618
首耀新海光伏,2936,1357,0.5378065395095368,0.3202921588872927,0.7159873921784645,0.5126379457585184,0.5932575473251338,1.0793603322667902,0.7062301908735199,0.6394346049046321,2.8,0.3713485012749506,2.13516617530107,0.5615481197724093
泰富如意情光伏,2936,1402,0.5224795640326976,0.3213625234333117,0.8778716262136222,0.7706585921109497,0.948777006282763,1.4122546513105487,0.8229376236399083,0.5356743869209809,10.24,0.5489344946444611,8.904380475254833,0.6356637936970552
连洋徐圩光伏,2936,1235,0.5793596730245232,0.35304385984904585,0.802456442426379,0.6439363419916005,0.6758137689102209,1.532480392647189,0.9245964397938089,1.1798705722070846,10.04,1.2979244937021093,8.293671539767557,0.6522941917418288
林洋朝阳光伏,2936,1276,0.5653950953678474,0.804236085469173,1.7958593262989755,3.2251107198550097,0.9235443623136474,2.9149987321731006,0.9350209167895046,2.707942779291553,18.14,3.1106970910025216,17.341760071659102,1.6120677788886868
鹰游新立成光伏电站,2936,1664,0.4332425068119891,1.5961195709963005,2.6209225289571783,6.869234902795291,0.5083448022733635,0.6284139016838133,0.6366588807994461,3.13983651226158,5.54,1.7248534577377501,8.21851957030818,2.564191585793803
