site_id,site_name,county,install_group,capacity_MW,n_rows,test_positive_rows_6_19,test_zero_ratio_6_19_pct,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,site_status,exclude_from_ranking,exclude_reason
S059,首耀清墩光伏电站,海州区,rooftop,2.0,1708,1677,1.81,0.2438,0.286,14.3002,-0.1303,0.6795,测试期分布漂移,是,cf_mean漂移-0.012>=0.1或cf_p95漂移-0.375>=0.2
S009,华电金叶光伏电站,赣榆区,rooftop,5.25,1708,1312,23.19,0.4647,0.7509,14.3034,-0.2917,0.6544,系统性偏差,是,"pred/actual=0.586超出[0.8,1.2]"
S055,沐恒曲阳光伏电站,东海县,rooftop,4.0,1708,1503,12.0,0.4302,0.5752,14.3808,0.1516,1.4427,测试期分布漂移,是,cf_mean漂移0.005>=0.1或cf_p95漂移-0.207>=0.2
S002,华筑泰宝光伏电站,连云区,rooftop,3.3,1708,1415,17.15,0.313,0.4764,14.4369,-0.2074,0.6726,测试期分布漂移,是,cf_mean漂移-0.098>=0.1或cf_p95漂移-0.498>=0.2
S020,国能赫睿光伏电站,赣榆区,rooftop,3.8,1708,1255,26.52,0.3748,0.6032,15.8725,-0.2995,0.4816,测试期分布漂移,是,cf_mean漂移-0.118>=0.1或cf_p95漂移-0.197>=0.2
S003,京运通西湖光伏电站,东海县,rooftop,4.167,1708,0,100.0,0.4793,0.6783,16.2784,0.4793,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S046,国能新易春光伏电站,赣榆区,rooftop,4.25,1708,1304,23.65,0.4657,0.7524,17.7026,-0.359,0.5045,测试期分布漂移,是,cf_mean漂移-0.104>=0.1或cf_p95漂移-0.188>=0.2
S012,泰富如意情光伏电站,东海县,rooftop,17.55,1708,1402,17.92,2.066,3.2803,18.6912,1.7732,2.9257,测试期分布漂移,是,cf_mean漂移-0.122>=0.1或cf_p95漂移-0.193>=0.2
S021,国能鑫江源光伏电站,赣榆区,rooftop,2.2,1708,1205,29.45,0.2629,0.416,18.9103,-0.19,0.5209,测试期分布漂移,是,cf_mean漂移-0.102>=0.1或cf_p95漂移-0.200>=0.2
S069,沐恒东海科创园光伏电站,东海县,rooftop,3.0,1708,0,100.0,0.3961,0.5787,19.2914,0.3961,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S044,国能汇菇源光伏电站,灌云县,rooftop,8.492,1708,0,100.0,1.1613,1.688,19.8779,1.1613,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S045,华能华兴光伏电站,灌云县,rooftop,2.915,1708,160,90.63,0.4139,0.5823,19.9752,0.375,5.6458,测试期分布漂移,是,cf_mean漂移-0.212>=0.1或cf_p95漂移-0.624>=0.2
S032,华能中林光伏电站,灌云县,rooftop,9.335,1708,1263,26.05,1.2604,1.9465,20.8521,-1.2288,0.2077,系统性偏差,是,"pred/actual=0.181超出[0.8,1.2]"
S076,太阳光东海光伏电站,东海县,rooftop,5.0,1708,0,100.0,0.8529,1.1826,23.653,0.8529,,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S053,鹰游新立成光伏发电站,灌云县,rooftop,13.33,1708,1662,2.69,2.5421,3.1533,23.6557,-2.2681,0.5793,测试期分布漂移,是,cf_mean漂移0.148>=0.1或cf_p95漂移-0.096>=0.2
S019,首耀新海光伏电站,海州区,rooftop,3.0,1708,1357,20.55,0.5518,0.9492,31.6388,-0.4349,0.6043,系统性偏差,是,"pred/actual=0.587超出[0.8,1.2]"
S116,林洋伊山光伏发电站,灌云县,unknown,22.0,1708,1334,21.9,4.8803,7.3368,33.349,-4.8803,0.0,系统性偏差,是,"pred/actual=0.000超出[0.8,1.2]"
S115,鑫众墩尚光伏发电站,赣榆区,unknown,7.0,1708,1130,33.84,1.5252,2.4103,34.4329,-1.5252,0.0,系统性偏差,是,"pred/actual=0.000超出[0.8,1.2]"
