site_id,site_status,exclude_reason,tv_cf_mean,test_cf_mean,cf_mean_shift,tv_cf_p95,test_cf_p95,cf_p95_shift,test_nrmse_pct,test_pred_actual_ratio
S024,测试期分布漂移,cf_mean漂移0.083>=0.1或cf_p95漂移0.212>=0.2,0.2152275915987246,0.1319050486173286,-0.083322542981396,0.6377295492487479,0.4257095158597662,-0.2120200333889816,8.19417508771064,0.9572532244337338
S025,测试期分布漂移,cf_mean漂移0.083>=0.1或cf_p95漂移0.205>=0.2,0.2460634566347738,0.1630018030714389,-0.0830616535633349,0.7150442477876106,0.5097345132743363,-0.2053097345132742,7.626505923156269,1.0232378422309445
S028,测试期分布漂移,cf_mean漂移0.097>=0.1或cf_p95漂移0.220>=0.2,0.2827739308771945,0.1859719715389549,-0.0968019593382395,0.7802547770700637,0.5605095541401274,-0.2197452229299363,11.856759448723771,0.9407165357233664
S033,测试期分布漂移,cf_mean漂移0.195>=0.1或cf_p95漂移0.290>=0.2,0.3719392670852852,0.1767011449388498,-0.1952381221464353,0.8498593530239101,0.560214486638537,-0.2896448663853731,9.182890209111733,1.091150831419449
S034,测试期分布漂移,cf_mean漂移0.178>=0.1或cf_p95漂移0.277>=0.2,0.3313394917670412,0.1530404101844061,-0.178299081582635,0.7951945080091533,0.5177345537757437,-0.2774599542334095,10.570024970196968,1.198270780185256
S035,测试期分布漂移,cf_mean漂移0.087>=0.1或cf_p95漂移0.246>=0.2,0.2373435859527329,0.1499916865364342,-0.0873518994162987,0.7212990936555891,0.4751699395770389,-0.2461291540785501,8.250773693278031,1.02178966150065
S037,测试期分布漂移,cf_mean漂移0.112>=0.1或cf_p95漂移0.489>=0.2,0.0004727074265117,0.1128570483295798,0.112384340903068,0.0,0.4894046417759839,0.4894046417759839,14.76490010061674,1.508848044108109
S038,测试期分布漂移,cf_mean漂移0.177>=0.1或cf_p95漂移0.272>=0.2,0.3618490115694443,0.1843526943289669,-0.1774963172404773,0.8878588516746401,0.6160287081339714,-0.2718301435406687,9.897880406602804,1.0876458478645918
S039,测试期分布漂移,cf_mean漂移0.160>=0.1或cf_p95漂移0.279>=0.2,0.2704564336245311,0.1105013067236873,-0.1599551269008438,0.6753623188405797,0.3960869565217387,-0.279275362318841,11.99508880899173,1.5349961814248618
S040,测试期分布漂移,cf_mean漂移0.147>=0.1或cf_p95漂移0.230>=0.2,0.3275021957907864,0.1803593040252739,-0.1471428917655125,0.8104026845637584,0.5805369127516778,-0.2298657718120805,9.286722580941008,1.0938840760836526
