site_id,valid_rows,valid_active_rows,baseline_mape_active,calibrated_mape_active,baseline_score,calibrated_score,a,b,enable_calibration,reason
S039,3768,2738,45.46034724894082,43.57819175510655,32.429686136268785,31.749697140003,0.95,-0.019999999999999983,True,improved
S040,3876,3332,44.06371165664804,40.91650909533989,30.75238167211989,29.25172025279072,0.95,-0.1,True,improved
S041,9324,7895,42.01480740239523,41.996507812947925,30.659389360068513,30.138682887449086,1.0,0.0,False,no_improvement
S042,5298,4625,35.39834379088994,35.00995392386836,25.56210665159543,25.117671077058063,1.0,0.0,False,no_improvement
S044,1229,989,59.71747525745295,54.30130277494122,39.51327424401854,36.71175334762511,0.95,-0.1,True,improved
S045,2457,1766,41.913915555016686,40.09451750513823,31.151249928372142,29.257538448102338,0.95,0.15,True,improved
S046,5275,4401,94.84640929785128,77.7447758533969,74.3758680303714,62.685481801483945,0.95,0.20000000000000004,True,improved
S047,11695,9573,31.536633311778,30.44374415824654,23.32892728481121,22.231457838314036,0.98,0.11000000000000004,True,improved
S048,3190,2773,54.10374972066665,48.49995085467597,37.7823027570757,35.118555570126425,0.95,-0.1,True,improved
S049,13216,10599,31.957478564514517,30.735791649964355,23.14161178457557,22.214072744598138,0.98,0.2,True,improved
S050,3940,2625,52.01891731727767,49.121395909682434,36.72076896602786,35.60193145516457,0.95,-0.029999999999999985,True,improved
S051,3452,2661,54.21333846898698,50.26029048861108,37.76692312599317,35.87433968037077,0.95,-0.09,True,improved
S052,6610,5264,39.1497174675976,35.179556342371285,31.758470729381752,28.5173620162443,0.96,0.2,True,improved
S053,14929,12342,38.75141039972871,37.62783828276681,29.3567821685498,28.543494481723563,0.95,0.20000000000000004,True,improved
S054,4664,3774,42.803819648828345,40.94422001746771,31.760295201218806,30.46553944055813,0.95,0.20000000000000004,True,improved
S055,2795,2085,182.34680034461607,155.4349460863093,120.62063649975018,104.4942304200792,0.95,-0.1,True,improved
S056,3472,2976,44.47413181495578,41.78764579616324,31.34328222237095,30.276174081034686,0.95,-0.039999999999999994,True,improved
S058,14436,9421,48.576248668757735,41.77107866240403,38.215557168884835,32.294062352366346,1.11,0.2,True,improved
S059,13752,10868,33.364015554744775,32.15764581342643,25.533778684471773,24.328245702928502,0.95,0.060000000000000026,True,improved
S060,3921,3269,61.87130075405359,55.265034530208176,42.77231113538311,38.88857190902612,0.95,-0.1,True,improved
S061,3854,3156,53.93759045256646,48.48461438395017,37.49861814266596,34.84481143485413,0.95,-0.1,True,improved
S062,12136,9993,29.53658361254719,28.11445652885177,21.794783277176375,20.467680833918003,0.97,0.11000000000000001,True,improved
S063,3479,3044,41.640100563794974,41.74147432790671,31.59517274858134,30.41870525603676,1.06,0.09000000000000002,True,improved
S064,12642,11029,33.60023098079644,33.26521805382247,25.151124940578068,24.440733359128377,1.0,0.06000000000000003,True,improved
S065,14161,11305,34.50816932245947,33.56562545276538,24.85785845479783,23.823342262816624,0.98,0.06000000000000003,True,improved
S066,6957,5934,97.55769201124424,82.97371369453347,76.61907726403639,66.59027685104026,0.95,0.20000000000000004,True,improved
S068,12803,10702,30.454577903873226,29.881812320048773,22.40101624634181,21.879544211511043,0.95,0.030000000000000013,True,improved
S069,0,0,,,,,1.0,0.0,False,insufficient_samples
S070,13072,10753,31.270909575592963,30.843500548096497,23.166264248001017,22.449890247528344,1.01,0.03000000000000004,True,improved
S071,11431,8335,29.81876995224596,29.148548659513647,22.236835423674975,21.635808275941958,0.98,0.2,True,improved
S072,10178,8717,39.971629000406296,39.38690363561784,29.05194441570707,27.952541885599494,1.02,0.08000000000000002,True,improved
S073,9355,7403,42.84447608613805,41.39332089808691,31.959137154980564,31.000967028783183,0.96,0.2,True,improved
S074,5194,4385,38.283737609708815,37.840158556985635,27.022835951782003,26.801494540500205,1.0,0.0,False,no_improvement
S075,4241,3559,42.8934329104545,41.995620388628865,30.87817214833038,30.544379388208824,1.0,0.0,False,no_improvement
S076,1808,1718,45.901042988099015,44.424650989265196,32.694224093418576,31.57572899390288,0.95,0.16999999999999998,True,improved
S077,5483,4814,28.63343703752393,27.544226453920327,21.163450160653724,20.264678366300746,0.97,0.020000000000000025,True,improved
S115,12584,0,,,,,1.0,0.0,False,insufficient_samples
S116,14018,0,,,,,1.0,0.0,False,insufficient_samples
