site_id,hour,pred_actual_ratio_future,pred_actual_ratio_test,pred_actual_ratio_train,pred_actual_ratio_valid,rows_future,rows_test,rows_train,rows_valid,site_nrmse_pct_future,site_nrmse_pct_test,site_nrmse_pct_train,site_nrmse_pct_valid,bias_class,train_valid_ratio_gap,is_stable_extreme_candidate
S041,14,0.5922061841440168,1.100954546511813,0.999935131769248,0.9971176168444231,90.0,122.0,529.0,61.0,32.45158409957037,16.09176973596793,17.506383572173853,21.796124231703633,unstable_or_mild,0.0028175149248248488,False
S076,11,0.9148045931360773,,1.0319377897148676,0.9087177254605122,47.0,,58.0,45.0,21.62982003123834,,20.746905605762837,21.775443007397406,unstable_or_mild,0.12322006425435539,False
S060,12,1.9562136232047302,1.3560307279505988,1.1159868808129427,0.8863347506336057,85.0,122.0,71.0,62.0,33.509037859846885,19.75007472966142,17.506373720008323,21.61089560217818,unstable_or_mild,0.22965213017933706,False
S038,10,1.5470665663883874,1.116232548344428,1.0225964131441523,0.874184081460261,78.0,119.0,54.0,60.0,18.823261157802452,12.334429361450347,15.410177733480243,21.569021349995143,unstable_or_mild,0.14841233168389123,False
S060,13,1.8419329271525304,1.4300692310940086,1.0386106946016256,0.9123873944656806,86.0,122.0,71.0,62.0,29.10455890814235,18.124776127993776,15.99042992243494,21.567101429849657,unstable_or_mild,0.12622330013594496,False
S034,12,0.9907649246680028,1.0289409622263355,1.0810798218973146,0.9814492002220638,79.0,113.0,39.0,62.0,18.604120810882367,13.119470798130658,24.048231038724083,21.558300583750274,unstable_or_mild,0.09963062167525072,False
S028,11,0.9177550984291457,0.9423603516647379,1.0256136126428745,0.9249517372954755,86.0,122.0,244.0,61.0,19.085401177210038,16.360483460616553,13.610035532231468,21.528334116726132,unstable_or_mild,0.10066187534739901,False
S074,14,0.870338085109665,1.1513421019170247,1.0748768032385385,0.9265291388489452,87.0,122.0,177.0,61.0,17.385706208585738,13.418614600334578,14.190847710412863,21.512709121151747,unstable_or_mild,0.14834766438959335,False
S041,12,0.5253652457469217,1.054111644572727,1.022082109065639,0.9671421926717207,90.0,122.0,530.0,62.0,42.08069633613476,17.777915793580316,18.587783164494663,21.51173842194824,unstable_or_mild,0.05493991639391815,False
S034,11,1.1036616685055742,1.1394724078510567,1.1017158920901529,0.9187696374418157,80.0,111.0,38.0,62.0,18.97120129579128,12.574135278177975,18.414528303887963,21.50441734375599,unstable_or_mild,0.18294625464833714,False
S040,11,1.3942571511885697,1.0779563491938136,0.9863310044338005,0.8950323705820472,85.0,122.0,67.0,62.0,22.009058418591774,13.121006305105306,13.404867551143798,21.485584247415566,unstable_or_mild,0.0912986338517533,False
S061,11,1.5324244989588862,1.082460986602323,0.88914364106689,0.9577416018787673,90.0,122.0,60.0,61.0,19.807293428353898,13.412954355274168,16.690247983074123,21.467974775586715,unstable_or_mild,0.0685979608118773,False
S042,12,0.8422244529797562,1.0231897024006895,1.0283425340967391,0.956664728745229,76.0,122.0,218.0,62.0,17.56617161613457,12.956313592654976,12.696562773527678,21.4289411918704,unstable_or_mild,0.07167780535151014,False
S033,14,1.083060690701143,1.1485710502577573,1.082690859051047,0.9079058895516541,89.0,122.0,110.0,60.0,16.880584853337886,14.309917209786486,15.569505139413668,21.37869954401928,unstable_or_mild,0.17478496949939282,False
S074,13,0.8331003126739533,1.0726166783289557,1.0194003184426852,0.9694942294566892,87.0,122.0,176.0,62.0,19.510530796121976,12.824996141042085,14.157978359826773,21.365205990864826,unstable_or_mild,0.04990608898599602,False
S039,13,1.0285320840116439,1.474794978008906,0.8945380485149317,1.1233207303068462,80.0,122.0,61.0,62.0,16.66710704712643,17.99760986055346,13.314107421527924,21.235178626208715,unstable_or_mild,0.22878268179191452,False
S046,12,1.467379487447453,1.177018698781185,1.0094487495268705,0.8750874093255664,87.0,122.0,193.0,56.0,28.256310343541347,18.473962287805957,12.808070127318514,21.222424025303614,unstable_or_mild,0.13436134020130408,False
S028,14,0.8946998177321468,1.0225900320740287,1.1149855427857656,0.9049770707816713,87.0,122.0,246.0,60.0,18.45830464521899,17.84599777925239,13.51477869296677,21.174336466158934,unstable_or_mild,0.21000847200409423,False
S048,12,1.1779187089508276,1.1531790774394326,0.6356202540269811,1.0327754389587247,85.0,121.0,35.0,62.0,15.992805381054007,12.336150324103693,22.887532133085116,21.146427601198422,unstable_or_mild,0.3971551849317436,False
