site_id,site_status,nrmse_pct,rmse_MW,mae_MW,bias_MW,n_samples,capacity_mw
S033,无测试预测结果,8.960052951207196,0.5096478118646652,0.29563592907360237,-0.04675144086327728,1708,5.688
S060,无测试预测结果,9.224805155074147,0.5387286210563301,0.31016533220298137,-0.03720368978904085,1708,5.84
S073,无测试预测结果,9.279420541515222,1.3919130812272833,0.8793102772936537,-0.5622102008497276,1708,15.0
S017,无测试预测结果,9.287329573911078,0.08860112413511168,0.06548078455679554,0.03401760957300632,1708,0.954
S116,无测试预测结果,9.37492662542643,2.0624838575938145,1.260519768231166,0.04577654767194233,1708,22.0
S007,无测试预测结果,9.41563597087213,2.071439913591868,1.2288612515733888,0.1132816406577986,1708,22.0
S009,无测试预测结果,9.453099269329398,0.49628771163979335,0.28243030248353573,-0.011225609409311684,1708,5.25
S039,无测试预测结果,9.615151809863525,0.3317227374402916,0.19849391335766167,0.13463929016682882,1708,3.45
S065,无测试预测结果,9.693561730813805,0.18649443413912678,0.10827232936363197,0.012154783331760599,1708,1.9239
S021,无测试预测结果,9.773652717490894,0.2150203597847997,0.1292989982851386,0.024169092125890235,1708,2.2
S038,无测试预测结果,9.780631155093381,0.1635321529131613,0.09780591505484156,-0.00098053517205607,1708,1.672
S058,无测试预测结果,9.806105721980122,0.5873857327466093,0.36882899414103987,-0.18936031691154417,1708,5.99
S040,无测试预测结果,9.91665342624764,0.5910325442043594,0.3264507962462324,-0.20250447961780602,1708,5.96
S046,无测试预测结果,10.228668087925328,0.43471839373682647,0.24240444807482103,0.003205881166504708,1708,4.25
S034,无测试预测结果,10.236573998273494,0.35787062697964134,0.20142495080224548,0.06670644862037242,1708,3.496
S028,无测试预测结果,10.315837693515531,0.3239173035763877,0.19140993348313023,-0.026619923345268966,1708,3.14
S041,无测试预测结果,11.292562474458299,0.2484363744380826,0.15411721336196832,0.027043358796537707,1708,2.2
S051,无测试预测结果,11.297523324014511,0.5677005470317292,0.3561605567474897,0.1858296227971753,1708,5.025
S008,无测试预测结果,11.342598531436533,0.3597872254171668,0.21187449779634382,-0.1329116522639616,1708,3.172
S063,无测试预测结果,11.419591187628773,0.41795703746721313,0.271464187321702,-0.06528211017344798,1708,3.66
S072,无测试预测结果,11.942686747609374,0.3732089608627929,0.23778462971350772,-0.09096398234956275,1708,3.125
S055,无测试预测结果,12.538142701125624,0.5015257080450249,0.3799151664242441,0.06609062498821378,1708,4.0
S006,无测试预测结果,13.056989943785416,0.6528494971892708,0.3948182561518235,0.376687937846431,1708,5.0
S071,无测试预测结果,13.448694491384765,2.6897388982769534,2.0840841469726286,-1.6753591519715727,1708,20.0
S052,无测试预测结果,13.53338185624218,0.8228296168595245,0.5068166277624233,-0.4612773462972891,1708,6.08
S050,无测试预测结果,13.741820199377313,0.35041641508412147,0.2207468123873326,0.13944193852785616,1708,2.55
S022,无测试预测结果,13.781921274798387,0.44653424930346775,0.27892999811178026,-0.24515389946001248,1708,3.24
S002,无测试预测结果,13.849130253502413,0.4570212983655796,0.3035766030848987,-0.12259913031261692,1708,3.3
S059,无测试预测结果,14.186970030600618,0.28373940061201236,0.24053220423671162,-0.13542249179330657,1708,2.0
S037,无测试预测结果,14.796004087902892,0.879770403066706,0.518766874349296,0.24922645789709963,1708,5.946
S115,无测试预测结果,17.474138931432186,1.223189725200253,0.7148897951239406,-0.03341420769261957,1708,7.0
S069,无测试预测结果,17.765941718274796,0.5329782515482439,0.35276126530356633,0.35276126530356633,1708,3.0
S012,无测试预测结果,18.387622632064247,3.227027771927275,2.027126731477811,1.802794121934614,1708,17.55
S044,无测试预测结果,18.92479114271756,1.6070932638395752,1.1086670710174862,1.1086670710174862,1708,8.492
S003,无测试预测结果,18.96202210446932,0.790090575026923,0.5582716548907658,0.5582716548907658,1708,4.1667
S076,无测试预测结果,19.68624012071937,0.9843120060359684,0.694627719356675,0.694627719356675,1708,5.0
S032,无测试预测结果,21.62144982907871,2.018362341544498,1.30417839660868,-1.2804610375779701,1708,9.335
S045,无测试预测结果,23.511544316283196,0.6853615168196552,0.4870094460856011,0.46055332148803624,1708,2.915
S053,无测试预测结果,24.649685699567932,3.2858031037524054,2.711023589040765,-2.50657198769963,1708,13.33
S019,无测试预测结果,31.45363403339903,0.943609021001971,0.5540401235234478,-0.4401376924310758,1708,3.0
