hour,site_id,site_name,county,capacity_mw,n_samples,actual_mean,pred_mean,bias_pct,avg_rel_err_raw,wape,mape,is_low_power_site_hour,is_problem,problem_type,problem_reason
7,S049,华能灌云光伏,灌云县,14.1,83,0.41891566265060237,0.07864873389968643,-81.23,90.68,81.43,90.68,True,True,systematic_underestimate,系统性低估
7,S050,沐恒东海产业园光伏,东海县,2.55,100,0.09260000000000002,0.049162416477987705,-46.91,66.91,57.13,66.91,True,False,normal,正常
7,S051,鲲鹏德宇光伏,灌云县,5.025,82,0.1851219512195122,0.04540262491878743,-75.47,65.3,77.83,65.3,True,False,normal,正常
7,S052,鹰游新立成二期光伏,灌云县,6.08,99,0.24030303030303032,0.05366643874983439,-77.67,73.07,77.7,73.07,True,False,normal,正常
7,S053,鹰游新立成光伏电站,灌云县,13.33,123,5.540000000000001,0.6916941842997505,-87.51,87.51,87.51,87.51,False,True,systematic_underestimate,系统性低估
7,S054,鸿天伍江光伏,连云区,11.272,82,0.45902439024390246,0.14046741976966753,-69.4,80.68,72.14,80.68,True,False,normal,正常
7,S055,沐恒曲阳光伏,东海县,4.0,108,0.2708333333333335,0.2348946589022401,-13.27,25.1,22.35,25.1,False,False,normal,正常
7,S056,昱中科技光伏,连云区,3.15,53,0.13716981132075473,0.05866938788991725,-57.23,87.75,64.32,87.75,True,False,normal,正常
7,S059,首耀清墩光伏,海州区,2.0,118,0.38805084745762697,0.03167974875447873,-91.84,88.85,91.98,88.85,False,True,systematic_underestimate,系统性低估
7,S060,华电蒙然源光伏,赣榆区,5.84,72,0.28152777777777777,0.11725546806023818,-58.35,65.83,61.81,65.83,True,False,normal,正常
7,S061,嘉伏黎明光伏,连云区,3.784,94,0.15297872340425533,0.04890684798790889,-68.03,72.1,70.87,72.1,True,False,normal,正常
7,S062,韩华大浦光伏电站,连云区,4.45368,75,0.13573333333333332,0.06832495049492154,-49.66,73.84,61.19,73.84,True,False,normal,正常
7,S063,铭信润海光伏,东海县,3.66,38,0.21710526315789475,0.12275060053259505,-43.46,53.64,49.04,53.64,False,False,normal,正常
7,S064,昱瑞青口光伏,赣榆区,3.288,43,0.18302325581395348,0.1525492407474291,-16.65,32.87,33.78,32.87,False,False,normal,正常
7,S065,中盛石榴光伏,东海县,1.9239,92,0.07934782608695651,0.0517509481255017,-34.78,57.8,48.1,57.8,True,False,normal,正常
7,S068,富云下车光伏,灌云县,1.223,73,0.04876712328767124,0.04013155219213573,-17.71,57.53,43.9,57.53,True,False,normal,正常
7,S070,旭日虎山光伏,连云区,2.1,50,0.0794,0.08227549691973852,3.62,80.88,44.62,80.88,True,False,normal,正常
7,S071,协鑫南岗光伏,灌云县,20.0,88,3.8546590909090908,0.09873300345020454,-97.44,90.91,97.44,90.91,False,True,systematic_underestimate,系统性低估
7,S072,交控大浦光伏,连云区,3.125,97,0.13855670103092782,0.04227225946386443,-69.49,71.33,71.78,71.33,True,False,normal,正常
7,S073,华能裕灌光伏,灌南县,15.0,104,0.6411538461538462,0.18254744678954435,-71.53,101.91,73.83,101.91,True,True,low_power_denominator,低功率分母放大效应
7,S074,华能中林二期光伏,灌云县,4.0,98,0.17438775510204085,0.044692115218192954,-74.37,76.14,75.49,76.14,True,False,normal,正常
7,S075,旭樱新田光伏,海州区,2.63,94,0.09180851063829784,0.038642601594787676,-57.91,70.75,64.97,70.75,True,False,normal,正常
