site_id,county,install_group,capacity_MW,n_rows,mae_MW,rmse_MW,nrmse_pct,bias_MW,pred_actual_ratio,test_zero_ratio_pct,site_status,exclude_from_ranking,exclude_reason
S071,灌云县,ground,20.0,1708,2.0818,2.681,13.4049,-1.6585,0.5236,12.47,系统性偏差,是,"pred/actual=0.610超出[0.8,1.2]"
S022,海州区,rooftop,3.24,1708,0.2807,0.4474,13.8074,-0.2467,0.5967,23.13,系统性偏差,是,"pred/actual=0.688超出[0.8,1.2]"
S006,东海县,rooftop,5.0,1708,0.4146,0.693,13.8603,0.3904,2.5007,46.02,系统性偏差,是,"pred/actual=2.616超出[0.8,1.2]"
S059,海州区,rooftop,2.0,1708,0.2408,0.2833,14.1642,-0.1386,0.6591,1.81,测试期分布漂移,是,cf_mean漂移0.012>=0.1或cf_p95漂移0.375>=0.2
S066,赣榆区,rooftop,5.45,1708,0.4921,0.7845,14.395,-0.3788,0.5873,25.0,正常评价,否,
S002,连云区,rooftop,3.3,1708,0.3132,0.4751,14.3969,-0.1984,0.6867,17.15,测试期分布漂移,是,cf_mean漂移0.098>=0.1或cf_p95漂移0.498>=0.2
S037,灌云县,rooftop,5.946,1708,0.4819,0.8633,14.5183,0.2872,1.4279,55.56,测试期分布漂移,是,cf_mean漂移0.112>=0.1或cf_p95漂移0.489>=0.2
S009,赣榆区,rooftop,5.25,1708,0.4781,0.7679,14.6264,-0.349,0.5865,23.19,正常评价,否,
S055,东海县,rooftop,4.0,1708,0.4573,0.6215,15.5363,0.1904,1.5561,12.0,测试期分布漂移,是,cf_mean漂移0.005>=0.1或cf_p95漂移0.207>=0.2
S020,赣榆区,rooftop,3.8,1708,0.3924,0.6311,16.6089,-0.3353,0.4195,26.52,测试期分布漂移,是,cf_mean漂移0.118>=0.1或cf_p95漂移0.197>=0.2
S046,赣榆区,rooftop,4.25,1708,0.485,0.7752,18.2395,-0.4014,0.446,23.65,测试期分布漂移,是,cf_mean漂移0.104>=0.1或cf_p95漂移0.188>=0.2
S003,东海县,rooftop,4.167,1708,0.5639,0.798,19.1511,0.5639,,100.0,测试期无有效发电,是,test正功率样本0.0<100或总电量不足
S012,东海县,rooftop,17.55,1708,2.1583,3.4357,19.5765,1.8905,3.0531,17.92,测试期分布漂移,是,cf_mean漂移0.122>=0.1或cf_p95漂移0.193>=0.2
S021,赣榆区,rooftop,2.2,1708,0.2741,0.4369,19.857,-0.2162,0.4546,29.45,测试期分布漂移,是,cf_mean漂移0.102>=0.1或cf_p95漂移0.200>=0.2
S032,灌云县,rooftop,9.335,1708,1.2955,1.9902,21.3199,-1.2702,0.1809,26.05,系统性偏差,是,"pred/actual=0.496超出[0.8,1.2]"
S069,东海县,rooftop,3.0,1708,0.466,0.6809,22.6958,0.466,,100.0,测试期无有效发电,是,test正功率样本0.0<100或总电量不足
S045,灌云县,rooftop,2.915,1708,0.4709,0.6727,23.0779,0.4496,6.5689,90.63,测试期分布漂移,是,cf_mean漂移0.212>=0.1或cf_p95漂移0.624>=0.2
S044,灌云县,rooftop,8.492,1708,1.3662,1.9859,23.3858,1.3662,,100.0,测试期无有效发电,是,test正功率样本0.0<100或总电量不足
S053,灌云县,rooftop,13.33,1708,2.636,3.2219,24.1705,-2.4576,0.5441,2.69,测试期分布漂移,是,cf_mean漂移0.148>=0.1或cf_p95漂移0.096>=0.2
S076,东海县,rooftop,5.0,1708,0.8777,1.219,24.3807,0.8777,,100.0,测试期无有效发电,是,test正功率样本0.0<100或总电量不足
S019,海州区,rooftop,3.0,1708,0.5572,0.9577,31.9226,-0.4543,0.5867,20.55,系统性偏差,是,"pred/actual=0.628超出[0.8,1.2]"
S116,灌云县,unknown,22.0,1708,4.8803,7.3368,33.349,-4.8803,0.0,21.9,正常评价,否,
S115,赣榆区,unknown,7.0,1708,1.5252,2.4103,34.4329,-1.5252,0.0,33.84,正常评价,否,
