site_id,month,pr_month_new,pr_month_final,pr_count,pr_month_old,pr_diff
S020,3,,0.78,0,0.78,0.0
S020,4,,0.78,0,0.78,0.0
S020,5,,0.78,0,0.78,0.0
S020,6,,0.78,0,0.78,0.0
S020,12,,0.78,0,0.78,0.0
S021,4,,0.78,0,0.78,0.0
S021,5,,0.78,0,0.78,0.0
S021,6,,0.78,0,0.78,0.0
S022,1,0.3484457280483055,0.3484457280483055,277,0.78,0.43155427195169455
S022,2,0.3787459495683736,0.3787459495683736,326,0.78,0.40125405043162643
S022,3,0.40476844181401184,0.40476844181401184,505,0.78,0.3752315581859882
S022,4,0.5016441871365189,0.5016441871365189,572,0.78,0.2783558128634811
S022,5,0.40970671787118784,0.40970671787118784,588,0.78,0.3702932821288122
S022,6,0.5734668646001158,0.5734668646001158,540,0.78,0.20653313539988427
S022,7,0.35757385497788585,0.35757385497788585,270,0.78,0.4224261450221142
S022,8,0.5291527179215142,0.5291527179215142,355,0.78,0.25084728207848583
S022,9,0.5427378175038805,0.5427378175038805,263,0.78,0.23726218249611952
S022,10,0.48081613783444654,0.48081613783444654,247,0.78,0.2991838621655535
S022,11,0.4749592659435482,0.4749592659435482,162,0.78,0.3050407340564518
S022,12,0.43749497268740534,0.43749497268740534,144,0.78,0.3425050273125947
S023,1,0.4646952450143963,0.4646952450143963,276,0.78,0.31530475498560373
S023,2,0.5050261429655901,0.5050261429655901,324,0.78,0.2749738570344099
S023,3,0.5116724593138069,0.5116724593138069,503,0.78,0.26832754068619313
S023,4,0.5514762958296272,0.5514762958296272,579,0.78,0.22852370417037282
S023,5,0.5898751002805321,0.5898751002805321,599,0.78,0.1901248997194679
S023,6,0.6072088792047922,0.6072088792047922,542,0.78,0.17279112079520786
S023,7,0.6722526266015008,0.6722526266015008,269,0.78,0.10774737339849927
S023,8,0.6443945948795873,0.6443945948795873,371,0.78,0.13560540512041275
S023,9,0.6651432474399193,0.6651432474399193,272,0.78,0.11485675256008077
S023,10,0.6151855934352348,0.6151855934352348,239,0.78,0.1648144065647652
S023,11,0.5963159962942891,0.5963159962942891,155,0.78,0.18368400370571092
S023,12,0.48680058500978185,0.48680058500978185,132,0.78,0.2931994149902182
S024,1,0.4963047345392229,0.4963047345392229,185,0.78,0.2836952654607771
S024,2,0.6000076978258813,0.6000076978258813,226,0.78,0.17999230217411877
S024,3,0.6537092879639048,0.6537092879639048,328,0.78,0.1262907120360952
S024,4,0.6939540180071146,0.6939540180071146,403,0.78,0.08604598199288538
S024,5,0.719331130759125,0.719331130759125,418,0.78,0.060668869240875
S024,6,0.7271437986756537,0.7271437986756537,371,0.78,0.05285620132434632
